"ID","Player","Team","Position","RkOv","Status","Age","FPts","FP/G","Ros","+/-","IP","ERA","K","W","ER","H","BB","SV","HLD","QS","HB","GP"
"*05oyx*","Peyton Gray","TEX","RP","511","FA","31","99","3.09","7%","-1%","38.2","3.49","41","5","15","36","12","0","6","0","3","32"
"*04q3y*","Grant Anderson","MIL","RP","519","FA","29","98","2.33","5%","0%","46.1","3.50","38","3","18","34","18","0","5","0","0","42"
"*0689r*","Yuki Matsui","SD","RP","520","FA","30","98","3.27","7%","0%","38.2","2.56","43","1","11","24","24","0","6","0","2","30"
"*031hc*","Cole Sulser","TB","RP","521","FA","36","98","2.39","6%","+1%","46.1","4.86","48","1","25","47","14","2","11","0","0","41"
"*04ekf*","Calvin Faucher","MIA","RP","523","FA","30","97","2.16","11%","-1%","44.1","4.67","46","5","23","38","30","1","11","0","3","45"
"*04esc*","Keaton Winn","SF","RP","524","FA","28","96","2.74","19%","-1%","34.2","3.38","27","2","13","27","13","1","11","0","2","35"
"*04yid*","Ryne Nelson","ARI","SP,RP","525","FA","28","96","6.4","52%","0%","83.1","4.97","62","3","46","81","22","0","0","6","5","15"
"*02hfr*","Caleb Thielbar","CHC","RP","526","FA","39","96","2.67","8%","0%","31","4.06","40","3","14","25","13","2","7","0","0","36"
"*03qm8*","JT Brubaker","SF","RP","529","FA","32","96","3.1","4%","0%","49.1","2.74","35","0","15","36","20","1","3","0","0","31"
"*04mlx*","Matthew Liberatore","STL","SP","530","FA","26","96","4.57","53%","+1%","102.2","5.26","100","5","60","120","40","0","0","4","4","21"
"*05lg3*","Brandon Pfaadt","ARI","SP,RP","581","FA","27","96","5.05","63%","+7%","69","4.17","47","5","32","70","20","0","2","2","4","19"
"*0312g*","Tyler Mahle","SF","SP","532","FA","31","95","5.59","37%","0%","89","4.96","80","3","49","90","35","0","0","3","1","17"
"*03qo0*","Pete Fairbanks","MIA","RP","535","FA","32","95","2.79","76%","-2%","31.1","7.18","42","3","25","32","14","13","2","0","3","34"
"*04pzi*","Evan Sisk","PIT","RP","536","FA","29","95","2.97","5%","0%","36.1","2.23","43","1","9","30","13","0","5","0","6","32"
"*03qub*","Grant Wolfram","BAL","RP","539","FA","29","94","2.35","5%","0%","32","4.22","35","3","15","33","8","1","12","0","4","40"
"*057n0*","Anthony Nunez","BAL","RP","543","FA","25","94","2.54","10%","0%","42.1","4.46","44","2","21","35","18","3","6","0","2","37"
"*041s4*","Lake Bachar","MIA","SP,RP","548","FA","31","93","2.58","7%","0%","54.2","4.12","59","1","25","42","21","1","1","0","4","36"
"*031ey*","Eric Lauer","LAD","SP,RP","549","FA","31","93","5.81","37%","+2%","82","4.83","52","5","44","75","28","0","0","4","2","16"
"*05itb*","Randy Vasquez","SD","SP","553","FA","27","92","4.6","43%","-2%","90.1","4.68","63","6","47","107","29","0","1","4","4","20"
"*03zlf*","Luis Medina","ATH","SP,RP","554","FA","27","92","2.63","6%","0%","47","3.64","57","2","19","45","24","0","5","0","3","35"
"*02nbw*","Tejay Antone","CIN","RP","558","FA","32","91","2.84","5%","+1%","32","2.25","28","1","8","23","8","1","5","0","2","32"
"*041am*","Lucas Erceg","KC","RP","561","FA","31","91","2.22","35%","-2%","39.1","5.26","27","4","23","43","23","12","3","0","4","41"
"*041x9*","Graham Ashcraft","CIN","RP","562","FA","28","89","3.42","22%","0%","27","3.33","32","1","10","17","16","1","10","0","0","26"
"*03ab0*","Luis Severino","ATH","SP","564","FA","32","89","7.42","43%","0%","62.2","4.16","65","2","29","61","31","0","0","3","2","12"
"*04tlv*","Bryan Abreu","HOU","RP","565","FA","29","89","2.28","43%","0%","35.2","5.05","46","2","20","29","28","6","6","0","3","39"
"*031d4*","Zack Littell","WSH","SP,RP","567","FA","30","88","4.19","33%","-1%","101","5.17","66","7","58","104","31","0","0","1","3","21"
"*0512q*","Justin Slaten","BOS","RP","569","FA","28","87","2.9","18%","+3%","26.1","4.78","34","1","14","30","6","0","16","0","0","30"
"*06qwb*","Jose Fermin","LAA","RP","571","FA","24","87","2.81","3%","+1%","33","3.00","36","3","11","22","17","0","5","0","3","31"
"*061jc*","Tim Herrin","CLE","RP","578","FA","29","86","2","9%","0%","33.2","3.48","28","1","13","27","19","0","14","0","4","43"
"*03poq*","Tony Santillan","CIN","RP","580","FA","29","86","2.53","27%","-1%","31","5.23","28","1","18","29","14","5","11","0","0","34"
"*031dd*","Tim Mayza","PHI","SP,RP","584","FA","34","85","2.07","4%","0%","48","3.94","47","2","21","42","11","0","1","0","1","41"
"*031k3*","Trent Thornton","CHC","RP","589","FA","32","84","2.9","4%","-1%","32.1","2.51","15","3","9","23","10","3","2","0","1","29"
"*05u6r*","Robert Gasser","MIL","SP","591","FA","27","83","7.55","43%","+4%","57.1","4.71","52","3","30","53","14","0","0","3","5","11"
"*047sh*","Wandy Peralta","SD","SP,RP","592","FA","35","83","1.8","4%","0%","53.1","3.04","33","2","18","50","21","0","3","0","2","46"
"*041tl*","Matt Festa","CLE","RP","593","FA","33","83","1.89","4%","0%","43","4.40","47","2","21","47","13","1","7","0","4","44"
"*060u3*","Andrew Alvarez","WSH","SP,RP","595","FA","27","83","5.53","22%","-1%","57.2","4.06","58","2","26","59","28","1","2","0","2","15"
"*04coa*","Trevor Richards","CHW","RP","596","FA","33","83","2.77","1%","0%","44.2","3.63","47","0","18","35","12","0","1","0","0","30"
"*05jq7*","Kyle Hurt","LAD","SP,RP","597","FA","28","82","2.48","10%","-1%","33.1","4.59","39","3","17","28","18","1","8","0","1","33"
"*03cav*","Brent Suter","LAA","RP","601","FA","36","80","2.11","3%","0%","59","4.42","53","1","29","61","14","0","3","0","1","38"
"*02n3l*","Taylor Rogers","MIN","RP","602","FA","35","80","1.82","9%","0%","38.1","5.17","33","6","22","44","17","2","9","0","2","44"
"*03yxh*","Cal Quantrill","TEX","SP,RP","700","FA","31","80","3.64","11%","-1%","58.1","3.70","39","3","24","55","17","0","0","1","5","22"
"*02n2v*","Anthony Banda","MIN","RP","609","FA","32","79","2.03","5%","0%","34.1","4.46","33","2","17","31","15","2","10","0","8","39"
"*0319c*","Mark Leiter Jr.","ATH","RP","610","FA","35","79","2.19","6%","0%","33.2","4.28","38","0","16","32","11","4","5","0","4","36"
"*0519c*","Orlando Ribalta","WSH","RP","612","FA","28","79","2.55","3%","0%","29.2","3.64","28","0","12","24","12","2","8","0","0","31"
"*04ggi*","Andrew Kittredge","BAL","RP","613","FA","36","79","2.26","20%","0%","30.2","3.52","28","1","12","33","9","3","6","0","0","35"
"*0421q*","Greg Weissert","BOS","RP","616","FA","31","79","1.84","4%","0%","41.1","4.14","38","3","19","39","12","0","5","0","2","43"
"*04etg*","Janson Junk","MIA","SP","617","FA","30","79","5.64","30%","-1%","73.2","4.89","57","4","40","80","20","0","0","2","1","14"
"*05rcp*","Tommy Nance","MIN","RP","618","FA","35","78","2.05","2%","0%","39.1","3.66","40","2","16","35","17","0","4","0","0","38"
"*066dd*","Samy Natera Jr.","LAA","RP","619","FA","26","78","4.33","11%","+3%","20.1","2.21","30","1","5","9","9","1","4","0","1","18"
"*060o9*","Juan Mejia","COL","RP","620","FA","26","77","1.83","4%","0%","46","5.48","47","3","28","48","24","4","6","0","2","42"
"*03mjl*","Cam Booser","TB","RP","621","FA","34","77","4.05","7%","+1%","20.2","1.74","26","0","4","10","4","0","5","0","0","19"
"*04pvu*","Stephen Kolek","KC","SP","624","FA","29","77","7.7","35%","-3%","54","4.50","34","4","27","55","12","0","0","5","2","10"
"*031cy*","Emilio Pagan","CIN","RP","625","FA","35","77","3.5","74%","+1%","20.1","5.31","21","2","12","17","8","10","0","0","2","22"
"*04k0w*","Camilo Doval","NYY","RP","627","FA","29","76","1.77","22%","-1%","38.2","4.19","39","3","18","36","16","1","4","0","2","43"
"*041w0*","Richard Lovelady","WSH","SP,RP","628","FA","31","76","2.3","5%","0%","30.1","3.86","27","2","13","34","21","4","9","0","3","33"
"*03nqc*","Jose Suarez","ATH","RP","630","FA","28","75","2.03","3%","0%","55.1","4.55","59","1","28","58","23","1","3","0","3","37"
"*05tjx*","Steven Cruz","KC","RP","634","FA","27","74","2.11","4%","+1%","37","4.62","45","2","19","31","17","2","2","0","1","35"
"*02bve*","Blake Treinen","LAD","RP","635","FA","38","74","2.55","8%","0%","23","3.52","25","4","9","21","10","1","6","0","1","29"
"*03yui*","Alex Lange","KC","RP","636","FA","30","74","1.8","28%","-3%","42","6.00","43","1","28","40","23","10","1","0","5","41"
"*04aeh*","DL Hall","MIL","RP","637","FA","27","74","3.08","10%","0%","31","2.03","32","0","7","14","24","0","3","0","1","24"
"*041g5*","Elvis Alvarado","ATH","RP","638","FA","27","73","2.52","14%","-3%","31","5.23","37","3","18","26","13","2","5","0","1","29"
"*04paj*","Cole Winn","TEX","RP","639","FA","26","73","1.87","7%","0%","35.1","6.11","36","5","24","38","10","1","9","0","1","39"
"*041z3*","John Schreiber","KC","RP","642","FA","32","72","1.64","5%","0%","40.1","3.79","29","0","17","39","16","1","8","0","1","44"
"*02xid*","Albert Suarez","BAL","RP","644","FA","36","72","4","3%","0%","43.1","3.32","30","2","16","38","15","1","0","0","0","18"
"*03duu*","Ryan Thompson","ARI","RP","643","FA","34","72","1.67","7%","0%","38.1","3.76","26","4","16","44","11","0","7","0","3","43"
"*02brc*","Adrian Houser","SF","SP,RP","647","FA","33","71","3.55","16%","0%","87","4.86","58","2","47","91","29","0","1","2","4","20"
"*066n1*","Justin Sterner","ATH","RP","648","FA","29","71","1.54","12%","-3%","42.2","6.12","40","2","29","46","13","1","12","0","0","46"
"*03btm*","Jose Alvarado","PHI","RP","649","FA","31","71","1.58","12%","0%","39","6.00","52","3","26","46","14","1","10","0","7","45"
"*04022*","Tim Hill","NYY","RP","652","FA","36","71","1.48","8%","0%","39.2","4.31","18","3","19","38","10","1","9","0","5","48"
"*04ehz*","Jeremiah Estrada","SD","RP","653","FA","27","69","3.29","41%","0%","20.2","3.48","23","2","8","13","10","1","6","0","0","21"
"*06fz3*","Mitch Farris","LAA","SP,RP","657","FA","25","68","3.09","5%","0%","43.1","3.53","43","0","17","43","18","1","1","0","1","22"
"*06am5*","Luinder Avila","KC","SP,RP","659","FA","24","68","3.4","23%","+7%","67.1","4.81","59","5","36","67","39","0","0","1","2","20"
"*0427a*","Casey Legumina","TB","SP,RP","662","FA","29","67","1.97","2%","0%","43.1","3.95","31","2","19","44","13","0","6","0","6","34"
"*0311r*","Sam Moll","CIN","RP","664","FA","34","67","1.37","2%","0%","42.2","4.43","46","1","21","36","24","1","4","0","5","49"
"*04g1x*","David Peterson","CHC","SP,RP","665","FA","30","66","3.14","42%","+5%","94.2","5.80","77","6","61","104","40","1","1","1","3","21"
"*0657l*","Jack Perkins","ATH","SP,RP","666","FA","26","66","2.54","23%","0%","68.1","6.45","80","2","49","66","27","3","2","0","8","26"
"*041uv*","Jesse Scholtens","TB","RP","669","FA","32","65","7.22","8%","0%","37.2","3.82","30","5","16","36","11","0","0","0","3","9"
"*041wc*","Joel Kuhnel","MIL","RP","678","FA","31","64","1.83","7%","0%","35.1","4.84","22","1","19","40","12","6","5","0","4","35"
"*03ql5*","Ryan Helsley","BAL","RP","679","W <small>(Thu)</small>","32","64","3.76","75%","-3%","15.1","4.11","21","0","7","13","9","8","0","0","0","17"
"*04px6*","Cooper Criswell","SEA","RP","680","FA","30","64","2.46","4%","0%","30.2","3.52","23","2","12","28","8","1","3","0","1","26"
"*03zo6*","Cionel Perez","NYM","RP","681","FA","30","64","1.83","2%","0%","40.2","5.09","40","4","23","44","16","0","5","0","0","35"
"*061cq*","Ryan Watson","BOS","RP","682","FA","28","64","1.88","1%","0%","54.2","4.45","43","1","27","52","19","1","1","0","3","34"
"*03vcw*","Jordan Hicks","CHW","SP,RP","683","FA","29","64","2","11%","+3%","29.1","3.38","33","0","11","23","20","1","5","0","1","32"
"*02n0v*","Hoby Milner","CHC","RP","684","FA","35","64","1.68","4%","0%","35.2","3.53","18","1","14","34","9","1","6","0","3","38"
"*05k3i*","Justin Bruihl","STL","RP","687","FA","29","63","1.4","1%","0%","49.1","3.65","34","0","20","49","20","0","6","0","8","45"
"*05y6w*","Hunter Dobbins","STL","SP","691","FA","26","62","8.86","25%","+10%","33.2","3.74","32","2","14","33","11","1","0","1","1","7"
"*01srb*","Jameson Taillon","CHC","SP","693","FA","34","61","4.07","46%","+1%","76","5.92","68","2","50","76","27","0","0","4","2","15"
"*05u6p*","Brant Hurter","DET","RP","696","FA","27","61","2.9","8%","0%","25.1","2.84","18","4","8","15","12","0","1","0","1","21"
"*02c47*","Shawn Armstrong","CLE","RP","699","FA","35","60","1.58","10%","0%","33","4.91","33","2","18","29","19","0","8","0","2","38"
"*051c3*","Andrew Nardi","MIA","RP","704","FA","27","59","2.36","4%","0%","22.2","5.16","27","3","13","21","11","0","8","0","1","25"
"*04w53*","Jaden Hill","COL","RP","706","FA","26","59","1.84","6%","0%","26.2","5.06","28","0","15","27","17","2","11","0","3","32"
"*04pyp*","Kody Funderburk","MIN","RP","707","FA","29","59","1.9","3%","0%","29.1","3.68","19","1","12","21","19","1","7","0","2","31"
"*030vs*","Kirby Yates","LAA","RP","709","FA","39","58","2.07","20%","-2%","24.2","3.65","30","0","10","16","11","3","0","0","4","28"
"*05r0r*","Enmanuel De Jesus","DET","SP,RP","714","FA","29","57","2.59","4%","0%","31.2","3.98","31","2","14","27","13","1","0","0","0","22"
"*02hdy*","Pierce Johnson","CIN","RP","717","FA","35","56","1.6","4%","0%","31","4.94","27","2","17","28","13","1","5","0","0","35"
"*03djb*","Jalen Beeks","TEX","RP","718","FA","33","56","1.93","4%","0%","26","3.81","21","2","11","28","8","0","6","0","0","29"
"*04em6*","Will Vest","DET","RP","721","FA","31","56","2.07","22%","-1%","26.2","6.08","27","3","18","28","10","2","7","0","2","27"
"*03dbu*","Sam Hentges","SF","RP","722","FA","30","56","2","2%","0%","21.1","2.53","24","1","6","17","16","0","6","0","3","28"
"*04pxq*","Gus Varland","WSH","RP","725","FA","29","55","1.72","4%","0%","31.2","6.25","30","1","22","41","15","6","6","0","0","32"
"*04q0r*","Dylan Smith","SF","RP","726","FA","26","55","2.89","4%","0%","17","2.65","20","0","5","11","8","1","5","0","2","19"
"*04ppz*","Jake Irvin","WSH","SP","727","FA","29","55","5","20%","0%","51.2","5.23","58","2","30","48","22","0","0","0","6","11"
"*05oqe*","Ty Madden","DET","SP,RP","729","FA","26","55","6.11","20%","+1%","25","2.88","29","0","8","17","10","0","1","0","1","9"
"*03r06*","Ryan Feltner","COL","SP","734","FA","29","54","3.6","14%","-3%","70.2","5.73","54","3","45","74","29","0","0","5","1","15"
"*02buh*","Scott Barlow","KC","RP","735","FA","33","53","1.47","5%","0%","33.1","6.48","29","2","24","26","19","2","10","0","7","36"
"*04mlr*","Jeffrey Springs","ATH","SP","736","FA","33","53","2.52","47%","0%","104","6.23","86","3","72","112","39","0","0","4","2","21"
"*03deu*","Brock Stewart","LAD","RP","739","FA","34","52","4","5%","+1%","13.1","2.02","14","0","3","5","5","1","4","0","0","13"
"*041qr*","Aaron Civale","CHC","SP","740","FA","31","52","2.89","21%","-4%","79","5.35","63","5","47","103","25","0","0","1","2","18"
"*05rgq*","Kendry Rojas","MIN","SP,RP","743","FA","23","52","5.2","20%","+1%","25.2","2.81","29","1","8","17","19","0","1","0","1","10"
"*0314j*","Ryan Yarbrough","NYY","SP,RP","745","FA","34","51","1.96","6%","0%","42.2","4.64","30","2","22","37","18","2","0","0","4","26"
"*04pxp*","Victor Vodnik","COL","RP","746","FA","26","51","1.65","12%","0%","34","5.56","24","3","21","39","19","4","5","0","1","31"
"*05mrv*","Eric Orze","MIN","RP","749","FA","28","51","1.42","3%","0%","41.1","5.66","36","2","26","42","21","1","7","0","2","36"
"*0422c*","Kyle Hart","SD","SP,RP","750","FA","33","51","1.89","3%","0%","38","5.21","33","0","22","30","12","0","5","0","3","27"
"*05ybe*","Travis Adams","MIN","RP","751","FA","26","51","2.32","2%","0%","31.2","5.40","36","2","19","30","14","2","1","0","0","22"
"*03di6*","Jordan Romano","COL","RP","755","FA","33","50","2.78","18%","+3%","14.2","6.14","21","0","10","17","10","8","1","0","1","18"
"*04eld*","J.P. Sears","SD","SP","757","FA","30","50","8.33","25%","+2%","28","3.86","23","3","12","24","9","0","0","0","0","6"
"*03ppa*","A.J. Minter","NYM","RP","756","FA","32","50","2.27","9%","0%","22","2.45","18","1","6","21","2","0","1","0","0","22"
"*04eqw*","Isaac Mattson","PIT","RP","764","FA","31","49","1.36","4%","0%","33.1","4.86","31","0","18","36","15","0","8","0","1","36"
