"ID","Player","Team","Position","RkOv","Status","Age","FPts","FP/G","Ros","+/-","IP","ERA","K","W","ER","H","BB","SV","HLD","QS","HB","GP"
"*04rzp*","Rico Garcia","BAL","RP","261","FA","32","179","3.65","57%","-2%","46","2.93","49","4","15","26","14","5","12","0","0","49"
"*04pps*","Hogan Harris","ATH","RP","292","FA","29","163","3.26","43%","+2%","46.2","3.09","62","3","16","40","28","8","10","0","5","50"
"*05a29*","Carmen Mlodzinski","PIT","SP,RP","310","FA","27","158","6.87","31%","0%","88.1","3.36","71","6","33","90","30","2","2","1","2","23"
"*04xne*","Yoendrys Gomez","MIN","SP,RP","318","FA","26","156","3.63","58%","+2%","47.2","3.40","43","1","18","37","23","13","6","0","3","43"
"*05xz4*","Michael Petersen","MIA","RP","322","FA","32","155","3.6","34%","+1%","44.1","2.84","51","1","14","27","18","1","17","0","2","43"
"*0429k*","Colin Holderman","CLE","RP","323","FA","30","155","3.78","24%","0%","41","1.76","41","6","8","20","15","1","8","0","3","41"
"*04q05*","Alex Vesia","LAD","RP","325","FA","30","154","3.35","50%","0%","35.1","2.55","50","1","10","18","24","3","17","0","0","46"
"*05ydo*","Juan Morillo","ARI","RP","334","FA","27","151","3.28","24%","+1%","43","2.72","51","3","13","28","16","1","13","0","2","46"
"*04y9f*","Ryan Zeferjahn","LAA","RP","339","FA","28","148","3.36","17%","+3%","50","3.78","71","4","21","28","32","3","9","0","8","44"
"*064no*","Spencer Miles","TOR","SP,RP","341","FA","26","147","5.07","27%","-2%","69","3.26","66","4","25","57","19","0","3","0","0","29"
"*04z9e*","George Soriano","STL","RP","343","FA","27","146","3.11","20%","+4%","46.1","3.50","43","3","18","35","16","2","16","0","1","47"
"*04y76*","Jacob Webb","CHC","RP","345","FA","32","145","3.15","33%","+1%","45.1","2.78","52","3","14","42","17","5","7","0","0","46"
"*02mwd*","Paul Blackburn","NYY","RP","358","FA","32","141","3.81","8%","+3%","57","1.89","42","3","12","39","19","1","2","0","1","37"
"*032lk*","Sean Newcomb","CHW","SP,RP","359","FA","33","141","3.62","24%","+1%","57.2","2.97","55","1","19","46","21","3","8","0","6","39"
"*060ml*","Huascar Brazoban","NYM","SP,RP","360","FA","36","141","3.2","14%","0%","50.2","2.66","47","4","15","30","22","0","8","0","1","44"
"*03dap*","Brock Burke","CIN","RP","362","FA","29","141","2.61","9%","+2%","51.2","2.61","43","4","15","38","29","1","12","0","2","54"
"*05y2k*","Mason Montgomery","PIT","SP,RP","364","FA","26","139","3.16","29%","+4%","43.1","3.95","66","4","19","33","20","2","9","0","0","44"
"*01vxp*","Brooks Raley","NYM","RP","365","FA","38","139","3.23","18%","0%","38.2","2.09","39","4","9","29","15","0","14","0","3","43"
"*03d7h*","Mitch Keller","PIT","SP","366","FA","30","139","6.62","78%","+1%","113.2","4.83","87","6","61","111","38","0","0","9","8","21"
"*06491*","Orion Kerkering","PHI","RP","367","FA","25","139","3.23","32%","0%","40.1","2.68","44","6","12","26","23","1","11","0","3","43"
"*02zoa*","Antonio Senzatela","COL","SP,RP","377","FA","31","134","4.19","35%","-2%","51","3.53","45","9","20","47","16","3","3","0","1","32"
"*02f9m*","Jakob Junis","TEX","RP","378","FA","33","134","3.83","33%","0%","39","2.77","30","1","12","35","7","5","13","0","3","35"
"*04auk*","Seranthony Dominguez","CHW","RP","379","W <small>(Thu)</small>","31","134","3.27","58%","-2%","36.1","4.21","44","3","17","28","22","12","4","0","2","41"
"*03qjz*","Taylor Clarke","ARI","RP","384","FA","33","133","2.77","16%","0%","48.1","2.23","25","2","12","33","9","0","12","0","3","48"
"*02nb6*","Drew Anderson","DET","SP,RP","385","FA","32","133","3.5","14%","0%","61","4.13","74","4","28","57","23","2","6","0","4","38"
"*041rj*","JoJo Romero","STL","RP","388","FA","29","131","2.98","44%","-3%","43","3.35","43","1","16","40","16","0","21","0","4","44"
"*0649e*","A.J. Blubaugh","HOU","RP","390","FA","26","131","3.27","15%","0%","67.1","3.74","69","4","28","53","32","0","5","0","2","40"
"*03qju*","Garrett Cleavinger","TB","RP","391","FA","32","131","3.74","35%","0%","31","3.48","42","2","12","25","14","2","18","0","1","35"
"*04ddz*","Yohan Ramirez","PIT","RP","396","FA","31","130","2.95","10%","0%","56","3.21","62","6","20","44","33","1","6","0","10","44"
"*05143*","Hunter Gaddis","CLE","RP","400","FA","28","128","3.12","39%","+2%","34.2","2.86","33","1","11","35","12","1","21","0","1","41"
"*04eku*","John King","MIA","RP","408","FA","31","125","2.98","10%","0%","42.2","2.53","31","6","12","23","12","1","4","0","4","42"
"*05w7z*","Edgardo Henriquez","LAD","RP","412","FA","24","124","3.1","21%","-1%","41.2","2.81","42","4","13","24","18","1","7","0","4","40"
"*06mi0*","Bryan King","HOU","RP","415","FA","29","123","2.86","27%","-12%","45.2","3.74","36","2","19","46","16","6","12","0","5","43"
"*04b01*","Tomoyuki Sugano","COL","SP","417","FA","36","123","6.83","30%","+2%","96","4.69","56","10","50","100","24","0","0","5","2","18"
"*03dpg*","Kevin Ginkel","ARI","RP","418","FA","32","123","2.62","18%","0%","44.1","3.25","43","4","16","39","12","0","10","0","0","47"
"*03qt6*","Tyler Phillips","MIA","SP,RP","419","FA","28","123","4.56","21%","-1%","84.1","3.52","63","2","33","77","38","2","0","2","3","27"
"*05jnq*","Clayton Beeter","WSH","RP","420","FA","27","123","3.73","40%","+1%","31.2","3.69","33","3","13","21","20","10","5","0","2","33"
"*03svw*","Bryan Hudson","CHW","SP,RP","421","FA","29","122","2.65","13%","+1%","45","3.00","44","3","15","41","17","4","6","0","4","46"
"*025it*","Jason Adam","SD","RP","422","FA","34","121","3.36","38%","-1%","32.1","2.51","22","2","9","30","8","2","17","0","2","36"
"*062ob*","Jose Ferrer","SEA","RP","424","FA","26","121","2.52","27%","-1%","43","2.72","36","3","13","45","13","3","10","0","4","48"
"*041mb*","Anthony Kay","CHW","SP,RP","436","FA","31","119","5.41","41%","0%","99.2","4.33","84","7","48","98","40","0","0","3","19","22"
"*066du*","Brad Lord","WSH","SP,RP","429","W <small>(Thu)</small>","26","118","4.37","23%","-1%","58","3.88","52","5","25","50","21","1","6","0","5","27"
"*05uy4*","Dylan Dodd","ATL","RP","432","FA","28","118","4.37","16%","+7%","31.2","1.99","34","2","7","15","9","1","7","0","0","27"
"*0376h*","Tyler Alexander","TEX","SP,RP","433","FA","32","118","2.51","19%","-1%","45","3.20","39","1","16","48","12","4","10","0","2","47"
"*0648y*","Mason Fluharty","TOR","SP,RP","435","FA","24","118","2.15","9%","0%","42.1","4.04","50","5","19","42","17","1","11","0","1","55"
"*06luc*","Jack Dreyer","LAD","SP,RP","437","FA","27","117","2.79","19%","0%","41.2","3.24","47","4","15","31","12","0","6","0","1","42"
"*0423e*","Anthony Bender","MIA","RP","442","FA","31","116","3.31","16%","0%","34.1","2.62","41","1","10","21","12","2","8","0","3","35"
"*04y8z*","Erik Miller","SF","RP","443","FA","28","116","3.22","11%","+1%","31.1","2.87","44","2","10","22","22","3","10","0","1","36"
"*04q1w*","Caleb Kilian","SF","SP,RP","445","FA","29","115","2.74","30%","-3%","41.1","4.57","49","3","21","37","18","8","3","0","1","42"
"*03qmm*","Jovani Moran","BOS","SP,RP","446","FA","29","115","3.97","6%","0%","43.1","2.70","49","2","13","22","19","0","3","0","1","29"
"*05wxw*","Gordon Graceffo","STL","RP","449","FA","26","114","2.65","9%","0%","51.1","3.16","32","6","18","33","24","1","4","0","2","43"
"*05jrv*","Will Klein","LAD","SP,RP","450","FA","26","114","3.26","19%","-1%","40.1","3.57","46","3","16","41","20","2","12","0","2","35"
"*02hj7*","Merrill Kelly","ARI","SP","453","FA","37","114","6","64%","+3%","109.1","4.86","71","8","59","116","42","0","0","7","3","19"
"*05xsm*","Chase Silseth","LAA","RP","455","FA","26","113","2.4","8%","0%","39.2","2.72","48","3","12","34","22","0","9","0","1","47"
"*03db4*","Jonathan Loaisiga","ARI","RP","456","FA","31","113","2.51","8%","0%","42","2.57","31","2","12","35","9","1","8","0","1","45"
"*02bzn*","Colin Rea","CHC","SP","461","FA","36","113","5.14","40%","+2%","106","4.84","81","7","57","112","38","1","0","3","7","22"
"*04mlh*","Ryan Rolison","CHC","RP","458","FA","29","112","3.11","6%","0%","40.2","2.66","42","5","12","34","19","1","4","0","0","36"
"*05rb4*","Sam Bachman","LAA","RP","459","FA","26","112","2.87","21%","0%","44.1","4.26","46","1","21","34","24","1","16","0","3","39"
"*03y4y*","Enyel De Los Santos","HOU","RP","462","FA","30","112","2.43","10%","0%","49","4.59","47","1","25","48","12","5","8","0","0","46"
"*04fq2*","Javier Assad","CHC","SP,RP","464","FA","28","111","6.53","30%","-4%","65.1","3.86","42","6","28","57","16","1","0","1","2","17"
"*050ok*","Yennier Cano","BAL","RP","469","FA","32","111","2.36","17%","-1%","35.2","2.27","30","2","9","27","8","1","8","0","1","47"
"*02hhj*","Ryne Stanek","STL","RP","471","FA","35","109","2.42","12%","+1%","40.1","4.46","43","2","20","35","23","1","17","0","1","45"
"*04pmg*","Jonathan Bowlan","PHI","RP","473","FA","29","109","2.79","11%","0%","36.2","2.70","44","2","11","28","8","0","6","0","2","39"
"*06guh*","Brandyn Garcia","ARI","RP","475","FA","26","108","3.27","21%","+2%","27.2","2.28","32","0","7","18","6","1","12","0","3","33"
"*03aac*","Walker Buehler","SD","SP","476","FA","32","108","5.14","42%","+1%","100","5.13","91","6","57","99","42","0","0","3","4","21"
"*02i3o*","Aaron Nola","PHI","SP","516","FA","33","108","4.91","77%","-1%","113.1","5.64","115","3","71","125","38","0","0","6","1","22"
"*031fj*","Gabe Speier","SEA","RP","477","FA","31","108","3.27","24%","0%","27.2","1.95","24","2","6","20","10","1","13","0","3","33"
"*03d6n*","Erick Fedde","CHW","SP,RP","486","FA","33","106","5.05","25%","+2%","97.1","4.25","68","5","46","100","36","0","0","1","3","21"
"*04tk1*","Slade Cecconi","CLE","SP","490","FA","27","105","5","48%","+1%","107.1","4.78","84","4","57","123","35","0","0","5","3","21"
"*04zay*","Kai-Wei Teng","HOU","SP,RP","492","FA","27","105","4.2","17%","-2%","68.1","4.35","67","5","33","62","30","0","3","2","11","25"
"*0313t*","Tyler Kinley","ATL","RP","493","FA","35","104","2.42","9%","-1%","37.1","4.34","38","6","18","32","16","0","11","0","1","43"
"*02x0f*","Sean Manaea","NYM","SP,RP","495","FA","34","104","4.73","40%","-1%","85.2","4.52","84","2","43","88","28","0","0","3","9","22"
"*0312l*","Brad Keller","PHI","RP","498","FA","31","102","3.19","18%","-8%","31.1","4.02","32","2","14","29","13","3","13","0","2","32"
"*04pvq*","PJ Poulin","WSH","SP,RP","501","FA","30","101","2.89","6%","-1%","36.2","2.70","25","3","11","27","21","3","7","0","1","35"
"*061t3*","Brennan Bernardino","COL","RP","504","FA","34","101","2.06","3%","0%","42.2","2.74","33","3","13","39","12","1","5","0","2","49"
"*04naz*","Tyler Holton","DET","SP,RP","505","FA","30","101","2.24","15%","0%","47.1","3.04","37","1","16","52","11","1","9","0","3","45"
