"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-","IP","ERA","K","W","ER","H","BB","SV","HLD","QS","HB","GP"
"*061yu*","Jacob Misiorowski","MIL","SP","1","Jpanner","Active","24","504","22.91","100%","0%","133","1.76","204","11","26","68","30","0","0","14","9","22"
"*05u6q*","Cam Schlittler","NYY","SP","3","JMerkle","Active","25","457","18.28","99%","0%","146.2","2.21","182","10","36","105","31","0","0","15","6","25"
"*052c8*","Cristopher Sanchez","PHI","SP","7","Sethmc44","Active","29","412","17.17","100%","0%","149.2","2.65","174","15","44","147","35","0","0","16","5","24"
"*03df2*","Dylan Cease","TOR","SP","9","Sasso","Active","30","393","18.71","99%","0%","126.1","2.28","184","7","32","80","52","0","0","11","3","21"
"*05r8n*","Yoshinobu Yamamoto","LAD","SP","12","Sasso","Active","27","386","18.38","100%","0%","139.1","2.65","127","11","41","92","32","0","0","16","4","21"
"*01uca*","Chris Sale","ATL","SP","13","zyoung51","Active","37","384","18.29","99%","0%","123","2.20","151","12","30","98","28","0","0","14","10","21"
"*05jp7*","Gavin Williams","CLE","SP","20","KRetiree","Active","27","366","15.25","99%","0%","144.2","3.55","185","11","57","109","41","0","0","9","3","24"
"*041r1*","Jesus Luzardo","PHI","SP","27","CLANK","Active","28","354","14.75","99%","0%","143.2","3.32","176","10","53","120","44","0","0","13","9","24"
"*04eee*","Drew Rasmussen","TB","SP","29","Hutch","Active","31","354","16.09","99%","0%","124.1","2.75","130","11","38","90","22","0","0","13","6","22"
"*05tzn*","Parker Messick","CLE","SP","31","Hutch","Active","25","349","15.17","98%","0%","136.2","2.57","136","9","39","104","38","0","0","9","1","23"
"*05rb3*","Chase Burns","CIN","SP","32","Coop","Active","23","349","15.86","99%","0%","124","2.61","143","13","36","93","46","0","0","10","1","22"
"*05ucd*","Mason Miller","SD","RP","34","kyfaess","Active","27","343","7.3","99%","0%","49.1","0.91","91","4","5","24","16","29","0","0","2","47"
"*03btv*","Sandy Alcantara","MIA","SP","39","zyoung51","Active","30","334","13.36","99%","0%","163.2","3.52","128","13","64","150","42","0","0","18","7","25"
"*01sb3*","Zack Wheeler","PHI","SP","49","KRetiree","Active","36","330","17.37","99%","0%","110.1","2.69","132","10","33","80","28","0","0","12","2","19"
"*04n0m*","Logan Gilbert","SEA","SP","52","KRetiree","Active","29","325","14.13","99%","0%","139.1","3.42","145","8","53","107","32","0","0","11","5","23"
"*051bm*","Louis Varland","TOR","RP","53","GoldTY","Active","28","324","6","89%","0%","60.2","1.34","75","5","9","44","17","24","5","0","0","54"
"*029si*","Eduardo Rodriguez","ARI","SP","63","zyoung51","Active","33","315","13.13","92%","0%","143.1","2.70","101","11","43","129","47","0","0","15","0","24"
"*0260v*","Sonny Gray","BOS","SP","69","kyfaess","Active","36","310","14.76","99%","0%","119.2","2.78","106","14","37","106","32","0","0","14","4","21"
"*041w4*","Bryan Baker","TB","RP","76","Hutch","Active","31","306","6.37","87%","0%","46.1","1.55","51","1","8","24","15","34","2","0","1","48"
"*03caf*","Foster Griffin","CLE","SP,RP","79","Coop","Active","31","303","13.17","92%","0%","133.1","3.31","122","12","49","116","32","0","0","12","8","23"
"*05y7s*","Nolan McLean","NYM","SP","82","joeybats","Active","25","301","13.09","99%","0%","130.2","3.51","156","8","51","104","48","0","0","13","13","23"
"*05xod*","Sean Burke","CHW","SP","83","Greenbet","Active","26","301","13.09","92%","0%","128.2","3.08","144","7","44","105","39","0","0","9","8","23"
"*04ptt*","Tarik Skubal","LAD","SP","92","JMerkle","Active","29","294","17.29","100%","0%","102.2","2.81","122","7","32","78","16","0","0","10","4","17"
"*04eor*","Cade Smith","CLE","RP","93","CLANK","Active","27","294","5.88","99%","0%","53.1","2.36","74","3","14","41","18","30","0","0","1","50"
"*05wru*","Paul Skenes","PIT","SP","96","GoldTY","Active","24","293","12.21","100%","0%","129.2","3.96","162","9","57","109","36","0","0","10","8","24"
"*02yc4*","Shohei Ohtani","LAD","UT,SP","10","Greenbet","Active","32","282","2.52","99%","0%","85.2","1.79","95","8","17","55","26","0","0","12","6","112"
"*04pr8*","Taj Bradley","MIN","SP","112","Sethmc44","Active","25","280","12.17","95%","0%","131.2","3.76","148","9","55","109","55","0","0","11","3","23"
"*05a2d*","Max Meyer","MIA","SP","115","Kipp","Inj Res","27","279","13.95","93%","0%","111","2.68","121","9","33","85","41","0","0","7","7","20"
"*02c4q*","Nick Martinez","TB","SP,RP","120","Kipp","Active","36","278","12.64","92%","0%","129","2.65","73","11","38","122","20","0","0","11","3","22"
"*05ge9*","Shota Imanaga","CHC","SP","122","zyoung51","Active","32","278","12.09","98%","0%","132.2","3.60","125","8","53","116","29","0","0","10","3","23"
"*04pmq*","Braxton Ashcraft","PIT","SP,RP","124","zyoung51","Active","26","276","12","97%","0%","132.1","4.08","145","11","60","121","32","0","0","10","7","23"
"*02iug*","Michael Wacha","KC","SP","128","Coop","Active","35","273","11.87","95%","0%","144","3.44","112","5","55","125","41","0","0","15","5","23"
"*04ps7*","Joe Ryan","MIN","SP","131","Hutch","Active","30","271","11.78","99%","0%","125.2","3.65","138","6","51","116","27","0","0","11","5","23"
"*05gef*","Cade Cavalli","WSH","SP","133","Jpanner","Active","27","270","10.8","91%","0%","128.2","3.57","141","9","51","128","39","0","0","13","12","25"
"*03div*","Jake Latz","TEX","SP,RP","135","GoldTY","Active","30","270","6.43","87%","0%","53","1.87","55","3","11","26","13","22","2","0","0","42"
"*02hjp*","Jacob deGrom","TEX","SP","136","kyfaess","Active","38","269","12.23","99%","0%","118.2","3.87","144","8","51","104","30","0","0","8","0","22"
"*06gwk*","Payton Tolle","BOS","SP,RP","137","kyfaess","Active","23","268","14.11","91%","0%","107","3.20","124","7","38","89","29","0","0","10","3","19"
"*041wv*","Michael King","SD","SP","138","JMerkle","Active","31","268","11.17","98%","0%","136.1","3.37","120","7","51","105","55","0","0","11","9","24"
"*04c0o*","Jose Soriano","TOR","SP","140","CLANK","Active","27","267","11.61","98%","0%","127.2","3.31","130","9","47","101","60","0","0","8","4","23"
"*03dbm*","Logan Webb","SF","SP","147","GoldTY","Active","29","263","12.52","99%","0%","133","3.59","103","7","53","112","32","0","0","14","6","21"
"*04aqc*","David Bednar","NYY","RP","149","JMerkle","Active","31","262","5.46","98%","0%","51.2","2.61","58","5","15","37","17","26","0","0","2","48"
"*05y9r*","Justin Wrobleski","LAD","SP,RP","154","Sethmc44","Active","26","259","12.95","89%","0%","120.1","3.44","94","11","46","107","27","0","0","12","4","20"
"*0510l*","Emerson Hancock","SEA","SP","156","CLANK","Active","27","256","11.64","88%","0%","121","3.35","111","6","45","105","30","0","0","11","5","22"
"*01ut7*","Nathan Eovaldi","TEX","SP","157","zyoung51","Active","36","255","11.59","99%","0%","132.2","4.21","137","10","62","128","32","0","0","11","7","22"
"*03poo*","Peter Lambert","HOU","SP","163","Sethmc44","Active","29","252","12.6","80%","+1%","113.2","3.09","111","8","39","87","44","0","0","8","8","20"
"*05js3*","Kyle Harrison","MIL","SP","164","joeybats","Reserve","24","251","13.94","92%","0%","88.2","2.84","111","9","28","71","21","0","0","6","4","18"
"*0596g*","Reid Detmers","LAA","SP,RP","166","Coop","Active","27","250","10.87","91%","0%","129","4.12","150","3","59","103","39","0","0","8","4","23"
"*025j1*","Robbie Ray","SD","SP","167","Hutch","Active","34","250","10.87","97%","0%","127.2","3.24","109","10","46","108","62","0","0","9","1","23"
"*041vm*","Dylan Lee","ATL","RP","169","JMerkle","Active","32","248","4.51","61%","0%","53.1","2.02","66","5","12","28","12","0","26","0","0","55"
"*05uc4*","Troy Melton","DET","SP,RP","170","Hutch","Active","25","248","19.08","88%","+1%","80","1.46","69","7","13","48","24","0","0","8","2","13"
"*05a1v*","Keider Montero","DET","SP,RP","172","Kipp","Active","26","247","9.88","71%","0%","122.1","3.38","86","8","46","96","28","1","0","8","5","25"
"*04yie*","George Kirby","SEA","SP","173","CLANK","Active","28","246","11.18","99%","0%","132","3.68","112","8","54","140","28","0","0","13","3","22"
"*05y62*","Bryan Woo","SEA","SP","174","Hutch","Active","26","246","11.18","99%","0%","127.1","4.31","127","8","61","115","27","0","0","12","6","22"
"*05jp9*","Bryce Elder","ATL","SP","175","Sethmc44","Active","27","245","11.14","83%","+3%","126.2","3.69","104","8","52","110","42","0","0","13","2","22"
"*05y23*","Tanner Bibee","CLE","SP","176","kyfaess","Active","27","245","10.21","95%","0%","138","3.85","110","4","59","118","38","0","0","14","4","24"
"*04apj*","Jhoan Duran","PHI","RP","179","Jpanner","Active","28","244","5.55","99%","0%","41.1","1.74","59","1","8","34","7","25","0","0","3","44"
"*03dau*","Trevor Megill","MIL","RP","180","joeybats","Active","32","244","5.19","94%","0%","45.1","2.58","53","2","13","28","11","21","7","0","1","47"
"*04pkt*","J.T. Ginn","ATH","SP","184","Sethmc44","Inj Res","27","243","10.12","76%","0%","121.1","3.41","107","8","46","94","53","0","0","11","8","24"
"*01gya*","Aroldis Chapman","BOS","RP","189","zyoung51","Active","38","235","5.73","98%","0%","39.2","2.04","50","2","9","31","18","27","0","0","1","41"
"*04ej3*","Riley O'Brien","STL","RP","190","Sasso","Active","31","235","4.9","91%","0%","47.2","3.21","48","3","17","35","20","29","1","0","10","48"
"*04mnw*","Ryan Weathers","NYY","SP","191","GoldTY","Active","26","235","10.68","89%","+1%","121","3.79","132","5","51","114","34","0","0","8","3","22"
