"ID","Player","Team","Position","RkOv","Status","Age","FPts","FP/G","Ros","+/-","AB","R","H","1B","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","GIDP","GP"
"*026lz*","Josh Bell","MIN","1B","121","FA","33","197.5","2.41","58%","+1%","296","41","73","47","16","1","9","52","23","71","1","0","2","5","82"
"*0433b*","Ildemaro Vargas","ARI","1B,2B","149","FA","34","184.5","2.56","49%","-4%","250","38","64","44","11","2","7","44","14","25","1","0","2","3","72"
"*065ji*","Jakob Marsee","MIA","OF","151","W <small>(Wed)</small>","25","184","2.24","86%","-1%","285","41","56","38","11","3","4","21","44","80","18","9","7","1","82"
"*01ual*","Paul Goldschmidt","NYY","1B","157","FA","38","181.5","3.13","76%","+4%","204","31","59","35","9","1","14","41","17","45","1","0","3","2","58"
"*04eej*","Gavin Sheets","SD","1B,OF","175","FA","30","173","2.28","60%","-2%","238","31","55","29","13","0","13","35","28","62","4","0","2","7","76"
"*04efa*","Daulton Varsho","TOR","OF","193","FA","29","166","2.34","78%","+3%","240","31","62","38","15","2","7","22","24","56","7","0","2","1","71"
"*04nky*","Trevor Larnach","MIN","OF,UT","196","FA","29","165","2.39","49%","+4%","215","37","62","41","15","1","5","27","29","44","2","1","3","6","69"
"*026qc*","Joc Pederson","TEX","UT","199","FA","34","164","2.1","26%","+2%","224","33","54","32","7","2","13","29","32","58","0","0","3","8","78"
"*05ydz*","Tristan Peters","CHW","OF","219","FA","26","157","2.01","21%","0%","208","28","59","36","17","2","4","30","17","42","5","2","3","0","78"
"*03pdw*","Andrew Benintendi","CHW","OF","221","FA","31","156","2.08","32%","0%","231","32","55","32","11","2","10","39","19","64","1","0","0","4","75"
"*05yaf*","Jacob Young","WSH","OF","222","FA","26","156","1.95","30%","-4%","250","32","56","37","9","2","8","30","12","50","8","2","4","4","80"
"*04en7*","Garrett Mitchell","MIL","OF","223","FA","27","155.5","2.19","48%","-2%","219","33","54","32","14","2","6","37","32","87","6","5","2","2","71"
"*06dsa*","Kyle Karros","COL","3B","225","FA","23","154.5","1.96","24%","0%","227","36","57","37","14","1","5","23","32","57","2","0","2","2","79"
"*03qr0*","Cedric Mullins","TB","OF","231","FA","31","152","2.14","38%","-1%","241","28","50","37","4","1","8","25","23","54","13","6","5","2","71"
"*03pzo*","Leody Taveras","BAL","OF","242","FA","27","148","2.03","20%","-2%","227","30","56","39","10","5","2","30","25","64","9","3","1","3","73"
"*02i11*","Jorge Soler","LAA","OF","251","FA","34","145","2.27","57%","0%","230","31","51","29","10","1","11","37","26","84","0","0","4","7","64"
"*041ts*","Luke Raley","SEA","OF","252","FA","31","143.5","1.97","55%","-5%","206","25","49","27","7","1","14","35","13","73","1","1","6","0","73"
"*05249*","Austin Martin","MIN","OF","261","FA","27","137.5","1.81","22%","-4%","217","30","53","40","11","0","2","17","31","45","8","5","5","4","76"
