"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-","AB","R","H","1B","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","GIDP","GP"
"*03zbh*","Fernando Tatis Jr.","SD","2B,OF","122","Kipp","Active","27","181","2.41","99%","0%","288","32","82","66","13","1","2","26","29","66","18","8","2","6","75"
"*0630d*","Drake Baldwin","ATL","C","123","CLANK","Active","25","180.5","3.41","99%","0%","210","41","59","39","6","0","14","39","24","55","1","1","3","7","53"
"*041qb*","Bo Bichette","NYM","3B,SS","125","Sethmc44","Active","28","180","2.34","99%","0%","311","39","77","57","11","1","8","42","20","58","1","0","1","9","77"
"*04aee*","Jo Adell","LAA","OF","124","Coop","Reserve","27","180","2.28","96%","+1%","311","37","77","53","14","0","10","41","10","78","3","0","10","6","79"
"*03d6s*","Matt Chapman","SF","3B","126","Kipp","Active","33","180","2.37","94%","+1%","280","35","68","43","17","1","7","41","33","70","0","1","5","6","76"
"*065ji*","Jakob Marsee","MIA","OF","129","Hutch","Reserve","24","178","2.34","87%","-1%","263","40","54","37","10","3","4","19","41","74","18","9","7","1","76"
"*04pst*","Jarren Duran","BOS","OF","131","Kipp","Active","29","177.5","2.54","99%","0%","284","37","58","35","9","2","12","37","20","93","11","0","3","2","70"
"*05ua7*","Jackson Merrill","SD","OF","132","kyfaess","Reserve","23","177","2.42","98%","0%","282","33","61","38","14","1","8","31","23","74","15","1","1","4","73"
"*04p10*","Bryson Stott","PHI","2B","133","zyoung51","Reserve","28","177","2.49","81%","+2%","246","25","58","35","14","3","6","36","19","44","14","0","1","6","71"
"*02w7p*","Alex Bregman","CHC","3B","134","JMerkle","Active","32","176.5","2.32","98%","0%","300","36","75","58","10","1","6","25","38","55","2","1","6","9","76"
"*03aqw*","Mauricio Dubon","ATL","2B,SS,OF","135","zyoung51","Active","31","176.5","2.45","77%","0%","267","30","70","47","14","2","7","42","19","43","1","2","2","4","72"
"*05zh9*","Luke Keaschall","MIN","2B","137","JMerkle","Reserve","23","174","2.38","87%","-1%","259","38","66","51","12","1","2","24","28","44","11","3","5","4","73"
"*05gsi*","Ceddanne Rafaela","BOS","OF","138","Sethmc44","Reserve","25","173.5","2.41","95%","+1%","259","31","74","48","17","2","7","32","14","57","8","6","6","7","72"
"*03ae8*","Dansby Swanson","CHC","SS","139","KRetiree","Active","32","173","2.37","83%","-3%","240","43","44","27","8","1","8","31","37","66","9","0","1","2","73"
"*030uc*","Rafael Devers","SF","1B","141","Coop","Active","29","172.5","2.24","98%","0%","298","35","71","36","23","1","11","36","27","97","0","0","1","7","77"
"*05ub0*","Zack Gelof","ATH","2B,3B,OF","142","kyfaess","Active","26","172.5","2.78","85%","+12%","208","40","59","37","10","1","11","29","14","55","8","1","3","5","62"
"*0414g*","Luis Garcia Jr.","WSH","1B,2B","143","KRetiree","Reserve","26","172","2.39","73%","+2%","239","30","62","37","12","3","10","46","8","40","2","1","0","5","72"
"*051d0*","Troy Johnston","COL","1B,OF","145","JMerkle","Active","29","171.5","2.45","59%","+1%","236","30","73","49","21","0","3","34","22","47","4","4","4","2","70"
"*03wha*","Ronald Acuna Jr.","ATL","OF","147","zyoung51","Reserve","28","171","3.23","99%","0%","195","31","49","31","10","1","7","22","35","52","15","7","4","0","53"
"*05y7x*","Cole Young","SEA","2B","148","Kipp","Reserve","22","170.5","2.16","67%","-1%","285","33","72","54","11","1","6","35","21","57","2","3","7","1","79"
"*04ppi*","Kody Clemens","MIN","1B,2B,OF","151","CLANK","Active","30","169.5","2.57","71%","+6%","235","32","57","29","15","2","11","29","16","55","6","2","5","4","66"
"*05u9q*","Jac Caglianone","KC","OF","152","Sasso","Active","23","169","2.35","95%","+2%","244","35","67","42","12","1","12","27","24","80","3","1","4","3","72"
"*0597k*","Nick Gonzales","PIT","2B,3B","153","zyoung51","Active","27","169","2.35","62%","-1%","270","40","79","64","11","1","3","35","16","52","4","2","5","8","72"
"*04y95*","JJ Bleday","CIN","OF","155","kyfaess","Active","28","168.5","3.51","84%","+1%","177","28","45","20","11","1","13","35","28","39","2","2","1","3","48"
"*05vy5*","Carter Jensen","KC","C","157","Jpanner","Active","22","167.5","2.36","89%","+3%","238","36","58","32","16","0","10","39","25","73","1","0","1","3","71"
"*04ya4*","Nasim Nunez","WSH","2B,SS","158","zyoung51","Reserve","25","167.5","2.33","52%","+10%","216","30","51","44","4","3","0","24","26","53","28","3","1","1","72"
"*01svq*","Manny Machado","SD","3B","159","KRetiree","Active","33","167","2.26","99%","0%","273","35","49","24","12","0","13","41","31","70","1","1","0","6","74"
"*02bq2*","Brandon Nimmo","TEX","OF","160","Sethmc44","Reserve","33","167","2.23","95%","-1%","291","29","76","49","18","2","7","26","24","66","2","1","6","7","75"
"*025gb*","Xander Bogaerts","SD","SS","161","Coop","Reserve","33","166.5","2.31","84%","-3%","253","31","58","46","4","0","8","29","29","53","9","1","3","2","72"
"*03atq*","Willy Adames","SF","SS","163","kyfaess","Reserve","30","166","2.21","93%","-2%","300","37","67","35","18","1","13","31","17","88","1","2","1","2","75"
"*06plc*","Sam Antonacci","CHW","2B,3B,SS,OF","165","Sasso","Active","23","164","2.83","76%","+2%","195","36","56","40","10","2","4","19","16","36","9","4","16","1","58"
"*03dgq*","Ryan O'Hearn","PIT","1B,OF","170","Coop","Active","32","163","2.59","94%","0%","233","33","64","45","8","0","11","41","20","58","1","0","2","11","63"
"*05uei*","Chase DeLauter","CLE","OF","167","JMerkle","Active","24","163","2.47","93%","-3%","240","24","63","43","12","1","7","34","28","36","2","1","0","6","66"
"*0648n*","Chase Meidroth","CHW","2B,SS","169","Kipp","Active","24","163","2.2","75%","0%","277","43","75","55","14","0","6","25","27","76","1","1","2","4","74"
"*05ahe*","Curtis Mead","WSH","1B,3B","168","Kipp","Active","25","163","2.63","65%","-3%","189","33","43","22","10","0","11","34","27","38","3","2","4","6","62"
"*05g3x*","Maikel Garcia","KC","3B","173","Hutch","Active","26","162.5","2.39","98%","0%","264","32","69","48","16","2","3","30","24","45","5","3","0","6","68"
"*04nqx*","Ezequiel Duran","TEX","2B,SS,OF","176","kyfaess","Reserve","27","161","2.37","72%","-2%","226","31","61","39","15","2","5","38","20","62","5","1","1","2","68"
"*04b02*","Seiya Suzuki","CHC","OF,UT","180","Sethmc44","Active","31","160.5","2.55","98%","0%","227","35","61","41","10","0","10","31","29","67","0","0","3","5","63"
"*05184*","Vinnie Pasquantino","KC","1B","179","Kipp","Reserve","28","160.5","2.36","90%","-4%","254","28","57","39","10","2","6","33","32","51","3","0","1","3","68"
"*04pks*","Matt McLain","CIN","2B,SS","182","Greenbet","Active","26","160","2.19","82%","-1%","245","31","49","28","13","0","8","25","34","72","11","2","3","3","73"
"*04q2n*","Adley Rutschman","BAL","C","184","Jpanner","Reserve","28","159.5","2.9","98%","0%","201","26","51","27","15","1","8","40","23","33","0","1","1","5","55"
"*04mn5*","Alec Bohm","PHI","3B","185","CLANK","Active","29","158.5","2.17","71%","+2%","267","23","62","43","10","0","9","41","19","41","1","0","2","7","73"
"*01sy3*","Nolan Arenado","ARI","3B","186","joeybats","Active","35","157.5","2.16","71%","-5%","243","32","58","38","12","0","8","31","23","57","3","0","6","6","73"
"*04ydd*","Angel Martinez","CLE","OF","187","Greenbet","Reserve","24","157.5","2.39","70%","-4%","226","28","54","31","11","1","11","33","7","53","9","2","5","5","66"
"*05m1e*","Jackson Chourio","MIL","OF","189","Hutch","Active","22","156.5","3.82","99%","0%","176","30","53","31","12","0","10","30","14","45","5","0","1","1","41"
"*03btu*","Willi Castro","COL","2B,3B,OF","191","CLANK","Active","29","153.5","2.29","73%","+9%","229","33","63","45","13","0","5","32","24","65","5","4","3","3","67"
"*05gwy*","Masyn Winn","STL","SS","192","Sethmc44","Reserve","24","153.5","2.26","61%","0%","253","31","62","46","11","2","3","31","25","57","6","2","6","7","68"
"*05zde*","Travis Bazzana","CLE","2B","195","KRetiree","Active","23","153","3.26","89%","0%","172","22","47","28","11","1","7","24","24","38","11","3","2","0","47"
"*04eig*","Jose Caballero","NYY","SS,OF","199","JMerkle","Active","29","152","2.38","88%","+2%","210","28","54","37","10","0","7","26","14","46","16","7","5","8","64"
"*0310z*","J.P. Crawford","SEA","SS","201","Coop","Active","31","151.5","2.44","54%","-1%","210","32","46","31","5","0","10","23","38","47","1","3","5","3","62"
"*03pom*","Austin Riley","ATL","3B","205","GoldTY","Reserve","29","150.5","1.98","97%","-1%","275","31","58","37","12","1","8","36","25","89","4","1","6","6","76"
"*0622w*","Chandler Simpson","TB","OF","211","Jpanner","Active","25","149.5","2.08","89%","-3%","267","32","70","62","4","4","0","15","14","31","16","8","0","2","72"
"*060jo*","Cam Smith","HOU","OF","212","GoldTY","Reserve","23","149.5","1.92","75%","-1%","260","30","57","37","12","1","7","26","27","77","8","1","4","6","78"
"*02bu9*","Marcus Semien","NYM","2B","214","zyoung51","Reserve","35","148.5","1.93","65%","-1%","279","29","61","43","8","1","9","29","22","65","6","2","1","8","77"
"*03pzn*","Andres Gimenez","TOR","2B,SS","218","Jpanner","Active","27","146","1.97","60%","-2%","241","21","56","37","11","1","7","33","8","52","10","2","7","5","74"
"*04yk2*","Spencer Torkelson","DET","1B","222","JMerkle","Reserve","26","145","1.91","82%","-1%","255","28","53","26","15","0","12","30","34","96","0","1","4","6","76"
"*05rb1*","Sal Frelick","MIL","OF","227","Greenbet","Active","26","143.5","2.05","61%","-2%","221","28","52","39","10","0","3","29","23","25","5","2","1","4","70"
"*05u3u*","Konnor Griffin","PIT","SS","230","Coop","Reserve","20","142","2.78","97%","0%","189","30","51","36","9","2","4","22","14","56","14","1","3","2","51"
"*05rbv*","Samuel Basallo","BAL","C","231","Sasso","Active","21","141.5","2.11","94%","-1%","217","27","56","36","9","1","10","31","21","63","0","0","0","3","67"
"*025he*","George Springer","TOR","OF","238","KRetiree","Active","36","138.5","2.52","91%","+1%","211","24","47","28","11","0","8","21","25","43","6","2","3","5","55"
"*04s1g*","Gabriel Moreno","ARI","C","243","kyfaess","Active","26","137.5","2.7","80%","+2%","174","24","48","30","12","0","6","25","21","35","4","1","3","3","51"
"*025dn*","Christian Yelich","MIL","UT","247","joeybats","Reserve","34","136","3.09","98%","0%","175","36","47","32","9","1","5","24","20","54","5","0","1","1","44"
"*01u75*","Salvador Perez","KC","C","250","joeybats","Active","36","134.5","1.87","89%","-2%","283","28","59","41","8","0","10","28","12","57","0","0","6","8","72"
"*05yj1*","Nolan Schanuel","LAA","1B","251","KRetiree","Reserve","24","134.5","2.2","51%","-1%","225","25","58","40","13","0","5","28","19","39","0","1","5","8","61"
"*05mdt*","Evan Carter","TEX","OF","253","KRetiree","Reserve","23","134","2.03","59%","-3%","193","26","34","20","6","2","6","21","29","54","10","0","3","0","66"
"*041e2*","Mickey Moniak","COL","OF","257","Kipp","Reserve","28","132","3.07","91%","-1%","150","21","42","19","9","2","12","28","10","40","1","0","3","3","43"
"*02xic*","Teoscar Hernandez","LAD","OF","258","CLANK","Reserve","33","131.5","2.58","95%","0%","181","30","50","35","8","0","7","31","19","55","2","0","2","6","51"
"*04pmu*","Ryan Jeffers","MIN","C","262","joeybats","Inj Res","29","130.5","3.53","74%","-1%","122","26","36","21","7","1","7","26","23","23","1","0","1","2","37"
"*04pr1*","Steven Kwan","CLE","OF","269","Greenbet","Reserve","28","129","1.82","80%","-3%","243","31","50","41","8","0","1","13","37","30","3","1","3","6","71"
"*04ppj*","Jeremy Pena","HOU","SS","277","CLANK","Active","28","127","3.1","95%","0%","159","28","45","30","9","0","6","18","12","28","5","1","3","1","41"
"*024m0*","Jose Altuve","HOU","2B,OF","280","GoldTY","Active","36","125","2.23","95%","-1%","213","33","50","31","11","0","8","20","22","54","1","2","1","9","56"
"*0423c*","Carlos Cortes","ATH","OF","282","joeybats","Reserve","28","124.5","2.01","44%","-5%","181","17","50","34","9","1","6","22","21","23","1","0","3","8","62"
"*04y97*","Kyle Stowers","MIA","OF","284","zyoung51","Active","28","124","2.3","87%","+1%","197","25","44","23","12","1","8","28","23","68","1","1","5","6","54"
"*05rfu*","Kyle Manzardo","CLE","1B","283","CLANK","Reserve","25","124","1.82","53%","0%","210","26","50","33","7","1","9","26","24","76","0","0","4","4","68"
"*0622t*","Jacob Wilson","ATH","SS","286","Sasso","Reserve","24","123","2.56","91%","0%","196","23","55","41","10","0","4","26","9","24","2","0","0","4","48"
"*02z96*","Dominic Smith","ATL","1B","289","zyoung51","Reserve","31","122.5","1.98","22%","-1%","164","25","47","35","5","1","6","31","10","25","0","0","1","4","62"
"*02mxf*","Carson Kelly","CHC","C","291","Greenbet","Active","31","122","2.18","56%","-3%","177","25","50","39","7","0","4","26","19","34","0","0","3","3","56"
"*05jsg*","Owen Caissie","MIA","OF","294","joeybats","Reserve","23","119.5","1.76","57%","0%","185","21","41","22","11","0","8","40","16","81","4","1","2","2","68"
"*031t0*","Gleyber Torres","DET","2B","299","kyfaess","Reserve","29","118.5","2.76","85%","-1%","157","26","44","34","6","0","4","18","29","33","0","0","2","2","43"
"*03rmz*","Keibert Ruiz","WSH","C","301","Sethmc44","Active","27","117.5","2.4","60%","-5%","157","22","44","24","14","0","6","29","4","21","1","1","1","5","49"
"*05y30*","Justin Crawford","PHI","OF","302","zyoung51","Reserve","22","117","1.62","61%","-2%","213","21","52","38","10","2","2","16","15","48","9","2","2","1","72"
"*042sz*","Will Smith","LAD","C","309","GoldTY","Reserve","31","115","2.17","94%","-3%","173","23","43","32","5","0","6","23","23","34","0","0","2","5","53"
"*03dp8*","Ramon Laureano","SD","OF","314","Kipp","Reserve","31","112.5","2.12","46%","-4%","182","23","37","22","6","2","7","21","20","65","7","2","2","1","53"
"*03zcy*","Mark Vientos","NYM","1B,3B","315","Greenbet","Reserve","26","112.5","1.79","42%","-3%","211","23","47","29","9","0","9","32","8","51","0","0","2","10","63"
"*04mra*","Ezequiel Tovar","COL","SS","325","Greenbet","Active","24","111","1.52","58%","-2%","254","23","54","35","14","0","5","24","15","78","4","0","2","5","73"
"*04yib*","Brett Baty","NYM","2B,3B,OF","322","Coop","Reserve","26","111","1.5","45%","-2%","224","24","49","36","9","1","3","26","22","72","3","1","3","2","74"
"*02btf*","Mookie Betts","LAD","SS","332","zyoung51","Active","33","109","2.53","99%","0%","170","26","37","23","6","0","8","19","14","24","1","2","1","6","43"
"*02mw6*","Corey Seager","TEX","SS","333","Jpanner","Reserve","32","109","2.32","97%","-1%","177","25","33","18","6","0","9","24","23","54","1","0","2","6","47"
"*04e2u*","Brent Rooker","ATH","UT","335","KRetiree","Reserve","31","108.5","2.26","95%","-1%","180","20","36","22","4","0","10","29","19","65","2","0","2","3","48"
"*05xtz*","Dalton Rushing","LAD","C","353","CLANK","Reserve","25","104","2.31","72%","-1%","134","21","34","19","7","0","8","22","14","40","0","0","4","2","45"
"*05u96*","Bryce Eldridge","SF","UT","357","KRetiree","Active","21","103","2.86","86%","+2%","124","19","37","22","9","0","6","16","19","30","0","0","0","0","36"
"*04aeb*","Royce Lewis","MIN","3B","365","Jpanner","Reserve","27","102","2.27","80%","+2%","158","19","32","19","6","0","7","21","18","50","5","0","2","2","45"
"*04prt*","Lawrence Butler","ATH","OF","371","Greenbet","Reserve","25","101","1.44","64%","+3%","190","26","37","26","6","0","5","20","21","56","5","3","0","3","70"
"*060pm*","Wyatt Langford","TEX","OF","374","kyfaess","Active","24","100.5","2.87","98%","+1%","140","19","38","23","7","2","6","16","9","33","4","0","0","2","35"
"*059bx*","Brady House","WSH","3B","389","Kipp","Minors","23","98","2.23","46%","-1%","163","22","37","23","7","0","7","25","13","50","1","0","0","4","44"
"*04ai4*","Nolan Gorman","STL","3B","401","Kipp","Minors","26","95","1.53","35%","-8%","201","19","39","28","4","0","7","26","25","74","0","1","0","1","62"
"*02i2q*","Carlos Correa","HOU","3B,SS","421","CLANK","Inj Res","31","91","2.76","53%","-1%","122","22","34","23","8","0","3","16","18","26","1","0","0","5","33"
"*02jh6*","Eugenio Suarez","CIN","3B","438","joeybats","Reserve","34","86","1.72","89%","-2%","178","16","37","23","7","0","7","25","15","66","0","0","0","2","50"
"*04my4*","Cal Raleigh","SEA","C","454","KRetiree","Active","29","82","1.71","99%","0%","179","17","29","18","4","0","7","20","24","64","2","1","0","4","48"
"*06dn7*","A.J. Ewing","NYM","OF","466","joeybats","Reserve","21","80","2.16","62%","-1%","124","14","33","24","6","1","2","13","15","40","7","3","0","0","37"
"*04pqf*","Nick Fortes","TB","C","467","GoldTY","Active","29","80","1.38","16%","-1%","172","16","43","32","10","0","1","14","5","22","0","0","6","6","58"
"*04y9p*","Anthony Volpe","NYY","SS","483","Greenbet","Reserve","25","77","2.75","54%","-2%","89","16","23","16","5","1","1","13","16","22","6","2","0","0","28"
"*05xty*","Dylan Beavers","BAL","OF","518","Coop","Inj Res","24","70","2.12","51%","-1%","103","16","25","16","7","0","2","12","14","28","3","1","0","1","33"
"*04qnc*","Francisco Alvarez","NYM","C","524","joeybats","Reserve","24","68.5","1.46","62%","-1%","148","14","37","27","5","0","5","13","13","39","0","0","2","11","47"
"*060ub*","Colt Emerson","SEA","SS","531","Sasso","Reserve","20","68","2.27","81%","0%","92","13","20","8","5","1","6","16","7","32","1","0","2","1","30"
"*04z6m*","Agustin Ramirez","MIA","C","533","CLANK","Minors","24","68","2.19","64%","-1%","113","14","26","18","5","1","2","14","13","28","3","1","2","5","31"
"*04pse*","Brendan Donovan","SEA","2B,3B","554","Jpanner","Reserve","29","64.5","2.48","83%","-1%","84","9","23","15","4","1","3","8","11","15","1","1","5","0","26"
"*0596e*","Dylan Crews","WSH","OF","557","Sasso","Reserve","24","64","2.21","72%","+1%","105","13","21","13","3","0","5","16","2","22","2","0","3","2","29"
"*05u9z*","Roman Anthony","BOS","OF","574","GoldTY","Inj Res","22","60.5","2.02","97%","-1%","109","12","25","18","5","1","1","5","20","33","2","0","1","0","30"
"*05ybv*","Jackson Holliday","BAL","2B","576","GoldTY","Active","22","60.5","2.09","89%","-2%","85","14","17","10","2","1","4","12","11","29","3","0","0","1","29"
"*06dlz*","Ryan Waldschmidt","ARI","OF","606","Sasso","Minors","23","57","1.68","58%","-9%","112","11","29","19","9","1","0","8","8","40","5","1","1","0","34"
"*02611*","Francisco Lindor","NYM","SS","615","Kipp","Inj Res","32","55.5","2.31","99%","0%","93","14","21","15","2","2","2","5","11","19","2","1","1","2","24"
"*0524l*","Yainer Diaz","HOU","C","637","Greenbet","Reserve","27","52.5","1.75","60%","-1%","111","8","27","19","6","0","2","15","4","19","0","1","0","3","30"
"*01cdf*","Giancarlo Stanton","NYY","UT","647","JMerkle","Inj Res","36","51.5","2.15","73%","-2%","90","8","23","14","6","0","3","14","6","29","1","0","0","2","24"
"*047l7*","Luis Robert Jr.","NYM","OF","650","Jpanner","Inj Res","28","50.5","2.1","76%","-2%","85","10","19","14","3","0","2","8","13","17","2","2","0","2","24"
"*05jse*","Tommy Troy","ARI","2B,OF","675","GoldTY","Reserve","24","46","1.92","34%","-2%","71","14","17","12","2","1","2","4","9","16","0","0","0","0","24"
"*04qnd*","Noelvi Marte","CIN","OF","686","JMerkle","Reserve","24","43","1.79","73%","0%","71","8","16","9","4","0","3","4","5","18","4","1","0","1","24"
"*066eo*","Cole Carrigg","COL","OF","699","Sasso","Reserve","24","41.5","3.46","62%","+5%","40","7","10","5","1","1","3","8","8","9","1","1","1","1","12"
"*05m1b*","Denzer Guzman","LAA","SS","700","Hutch","Active","22","41.5","3.46","25%","+6%","48","7","13","8","2","0","3","11","4","9","1","1","0","1","12"
"*050c3*","Jasson Dominguez","NYY","OF","708","CLANK","Reserve","23","40","2.5","76%","+2%","58","6","14","7","5","0","2","5","2","10","3","0","1","0","16"
"*05r1m*","Jordan Lawlar","ARI","3B,OF","730","JMerkle","Inj Res","23","36","3","76%","+1%","38","6","12","9","2","0","1","4","3","10","4","0","3","0","12"
"*04yi8*","Spencer Jones","NYY","OF","782","JMerkle","Reserve","25","30","1.36","60%","0%","55","5","12","8","2","0","2","7","9","26","1","0","0","0","22"
