"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-","IP","ERA","K","W","ER","H","BB","SV","HLD","QS","HB","GP"
"*061yu*","Jacob Misiorowski","MIL","SP","1","Jpanner","Active","24","381","23.81","100%","0%","99","1.45","146","9","16","49","27","0","0","11","7","16"
"*05u6q*","Cam Schlittler","NYY","SP","2","JMerkle","Active","25","331","19.47","99%","0%","100","1.62","118","8","18","72","20","0","0","10","3","17"
"*052c8*","Cristopher Sanchez","PHI","SP","4","Sethmc44","Active","29","327","19.24","100%","0%","110","2.13","127","9","26","101","21","0","0","12","2","17"
"*05rb3*","Chase Burns","CIN","SP","14","Coop","Active","23","276","17.25","100%","0%","91.2","2.36","112","9","24","70","29","0","0","8","0","16"
"*05r8n*","Yoshinobu Yamamoto","LAD","SP","16","zyoung51","Active","27","274","18.27","100%","0%","97.2","2.67","90","8","29","68","19","0","0","12","3","15"
"*01uca*","Chris Sale","ATL","SP","17","zyoung51","Active","37","273","18.2","100%","0%","90","2.10","109","8","21","75","22","0","0","10","8","15"
"*02yc4*","Shohei Ohtani","LAD","UT,SP","9","Greenbet","Active","31","270","3.38","100%","0%","79.2","1.58","86","8","14","48","24","0","0","11","6","80"
"*04eee*","Drew Rasmussen","TB","SP","19","Hutch","Active","30","270","16.88","99%","0%","92","2.45","94","7","25","63","16","0","0","10","4","16"
"*05a2d*","Max Meyer","MIA","SP","33","Kipp","Active","27","253","14.88","94%","0%","97","2.60","107","9","28","72","36","0","0","6","7","17"
"*05wru*","Paul Skenes","PIT","SP","40","GoldTY","Active","24","249","14.65","100%","0%","93","3.10","114","6","32","70","20","0","0","8","6","17"
"*03caf*","Foster Griffin","WSH","SP,RP","41","Coop","Active","30","247","14.53","90%","+2%","98.1","2.93","98","8","32","77","25","0","0","9","7","17"
"*051bm*","Louis Varland","TOR","RP","42","GoldTY","Active","28","247","6.17","88%","0%","45","1.00","62","3","5","30","12","16","5","0","0","40"
"*05tzn*","Parker Messick","CLE","SP","43","Hutch","Active","25","246","15.38","98%","0%","94.1","2.67","101","7","28","70","29","0","0","6","1","16"
"*04pmq*","Braxton Ashcraft","PIT","SP,RP","45","zyoung51","Active","26","245","15.31","97%","0%","96.2","3.07","107","7","33","83","22","0","0","10","6","16"
"*05ucd*","Mason Miller","SD","RP","46","kyfaess","Active","27","245","7.66","100%","0%","34","0.79","66","2","3","14","13","21","0","0","0","32"
"*01sb3*","Zack Wheeler","PHI","SP","50","KRetiree","Active","36","241","20.08","99%","0%","75.1","2.03","74","8","17","46","19","0","0","9","2","12"
"*04ps7*","Joe Ryan","MIN","SP","60","Hutch","Active","30","235","13.82","99%","0%","93.1","3.18","108","5","33","77","19","0","0","9","5","17"
"*04n0m*","Logan Gilbert","SEA","SP","64","KRetiree","Active","29","232","13.65","100%","0%","100","3.42","107","6","38","79","22","0","0","7","5","17"
"*04pxf*","Davis Martin","CHW","SP","67","KRetiree","Active","29","228","14.25","93%","0%","93","3.00","90","9","31","86","24","0","0","10","4","16"
"*05js3*","Kyle Harrison","MIL","SP","68","joeybats","Active","24","227","15.13","93%","0%","77","2.57","96","8","22","61","19","0","0","6","4","15"
"*05jp7*","Gavin Williams","CLE","SP","69","KRetiree","Active","26","226","13.29","99%","0%","101.2","3.81","117","9","43","85","34","0","0","6","2","17"
"*04eor*","Cade Smith","CLE","RP","74","CLANK","Active","27","224","6.22","99%","0%","38.1","3.05","57","2","13","36","10","26","0","0","1","36"
"*02hjp*","Jacob deGrom","TEX","SP","80","kyfaess","Active","38","221","13.81","100%","0%","88.2","3.55","106","6","35","71","20","0","0","7","0","16"
"*0260v*","Sonny Gray","BOS","SP","81","Kipp","Active","36","221","14.73","99%","0%","83.2","2.69","75","9","25","72","21","0","0","10","3","15"
"*03df2*","Dylan Cease","TOR","SP","84","Sasso","Active","30","219","14.6","100%","0%","83.1","3.02","128","4","28","63","40","0","0","5","3","15"
"*029si*","Eduardo Rodriguez","ARI","SP","85","zyoung51","Active","33","219","13.69","90%","+1%","95","2.27","70","6","24","77","38","0","0","9","0","16"
"*02iug*","Michael Wacha","KC","SP","87","Coop","Active","34","218","12.82","95%","0%","108.2","3.31","84","5","40","94","30","0","0","12","4","17"
"*05y9r*","Justin Wrobleski","LAD","SP,RP","98","Sethmc44","Active","25","208","14.86","88%","0%","86.1","2.71","53","9","26","69","18","0","0","9","2","14"
"*01ut7*","Nathan Eovaldi","TEX","SP","99","zyoung51","Active","36","207","12.94","98%","0%","100.1","3.95","101","8","44","93","23","0","0","9","6","16"
"*0596g*","Reid Detmers","LAA","SP,RP","102","Coop","Active","26","205","12.06","92%","0%","99.2","3.88","112","3","43","75","31","0","0","7","4","17"
"*03dbm*","Logan Webb","SF","SP","104","GoldTY","Active","29","204","14.57","99%","0%","90.1","3.09","76","5","31","74","22","0","0","10","4","14"
"*02c4q*","Nick Martinez","TB","SP,RP","108","Kipp","Active","35","202","12.63","91%","0%","94.2","2.66","58","7","28","92","17","0","0","9","2","16"
"*04c0o*","Jose Soriano","LAA","SP","110","CLANK","Active","27","201","11.82","98%","0%","95","3.41","102","8","36","77","48","0","0","6","3","17"
"*03pjf*","Michael Soroka","ARI","SP","113","kyfaess","Inj Res","28","200","13.33","90%","-1%","82","3.07","79","8","28","72","17","0","0","7","5","15"
"*0510l*","Emerson Hancock","SEA","SP","115","CLANK","Active","27","199","12.44","88%","0%","90.2","3.47","87","5","35","73","22","0","0","8","4","16"
"*041r1*","Jesus Luzardo","PHI","SP","118","CLANK","Active","28","198","11.65","99%","0%","97.1","3.88","116","6","42","94","33","0","0","8","5","17"
"*04apj*","Jhoan Duran","PHI","RP","122","Jpanner","Active","28","197","6.57","99%","0%","28.2","1.57","44","1","5","21","6","21","0","0","0","30"
"*041w4*","Bryan Baker","TB","RP","123","Hutch","Active","31","197","5.79","86%","0%","32.1","1.95","35","1","7","17","11","21","2","0","1","34"
"*04o2w*","Ben Brown","CHC","SP,RP","124","GoldTY","Reserve","26","197","9.85","85%","0%","68","1.85","65","4","14","45","19","1","2","3","2","20"
"*03div*","Jake Latz","TEX","SP,RP","125","GoldTY","Active","30","197","6.35","83%","+2%","39","1.85","40","1","8","17","9","16","2","0","0","31"
"*05y62*","Bryan Woo","SEA","SP","139","Hutch","Active","26","190","11.88","100%","0%","93","4.26","92","6","44","79","18","0","0","9","3","16"
"*03btv*","Sandy Alcantara","MIA","SP","137","zyoung51","Active","30","190","11.18","99%","0%","110","4.01","81","8","49","109","27","0","0","12","6","17"
"*025j1*","Robbie Ray","SF","SP","140","Kipp","Active","34","190","11.18","95%","+3%","95.2","3.39","82","7","36","74","43","0","0","6","0","17"
"*03et8*","Ranger Suarez","BOS","SP","145","Coop","Active","30","188","12.53","98%","+1%","82.2","2.83","84","3","26","69","25","0","0","6","2","15"
"*04pkt*","J.T. Ginn","ATH","SP","152","Sethmc44","Active","27","184","10.22","78%","-2%","88.2","3.15","78","6","31","72","36","0","0","7","4","18"
"*041vm*","Dylan Lee","ATL","RP","158","JMerkle","Active","31","181","4.76","59%","+1%","37","0.97","44","4","4","18","5","0","15","0","0","38"
"*05y7s*","Nolan McLean","NYM","SP","163","joeybats","Active","24","180","11.25","99%","0%","89.1","4.03","106","4","40","66","34","0","0","7","11","16"
"*06gwk*","Payton Tolle","BOS","SP,RP","165","kyfaess","Active","23","179","14.92","90%","-1%","71.1","2.78","69","4","22","53","20","0","0","7","2","12"
"*041wv*","Michael King","SD","SP","168","JMerkle","Active","31","177","10.41","98%","0%","96.1","3.55","83","5","38","75","39","0","0","7","8","17"
"*06f1r*","Connelly Early","BOS","SP","171","KRetiree","Active","24","176","11","94%","0%","87.2","3.59","88","7","35","78","32","0","0","7","9","16"
"*05jp9*","Bryce Elder","ATL","SP","173","Sethmc44","Active","27","174","10.24","88%","-2%","98.2","4.01","83","5","44","91","30","0","0","10","2","17"
"*03dfa*","Tanner Scott","LAD","RP","176","Kipp","Active","31","173","4.81","80%","+2%","34.1","2.10","42","1","8","21","3","11","6","0","1","36"
"*05sr2*","Michael McGreevy","STL","SP","178","JMerkle","Reserve","25","172","10.75","80%","-2%","89.1","3.12","57","3","31","81","21","0","0","10","0","16"
"*05y23*","Tanner Bibee","CLE","SP","179","kyfaess","Active","27","171","10.06","95%","0%","95.1","3.78","81","2","40","80","29","0","0","9","2","17"
"*04mnw*","Ryan Weathers","NYY","SP","182","GoldTY","Active","26","171","11.4","92%","+1%","86.2","3.95","95","3","38","75","24","0","0","6","1","15"
"*04cd5*","MacKenzie Gore","TEX","SP","183","Sasso","Active","27","169","9.94","97%","0%","91","4.05","97","5","41","76","38","0","0","6","2","17"
"*05a1v*","Keider Montero","DET","SP,RP","186","Kipp","Active","25","168","10.5","54%","+1%","87.2","3.39","56","4","33","69","18","0","0","7","2","16"
"*05ge9*","Shota Imanaga","CHC","SP","190","zyoung51","Active","32","167","10.44","98%","0%","92","4.40","88","5","45","74","23","0","0","6","3","16"
"*04yie*","George Kirby","SEA","SP","192","CLANK","Active","28","166","10.38","99%","0%","96","3.94","84","6","42","106","23","0","0","9","2","16"
"*05y72*","Landen Roupp","SF","SP","198","kyfaess","Active","27","164","10.25","86%","0%","86.1","4.07","95","5","39","77","34","0","0","7","3","16"
"*04pr8*","Taj Bradley","MIN","SP","201","Sethmc44","Active","25","164","10.93","91%","0%","83.2","3.98","91","6","37","72","35","0","0","6","2","15"
"*04pq4*","Kyle Bradish","BAL","SP","203","Coop","Active","29","163","9.59","97%","+1%","93","3.77","96","5","39","88","47","0","0","7","1","17"
"*02hi7*","Kevin Gausman","TOR","SP","205","Sasso","Active","35","162","9.53","99%","0%","95","4.45","93","4","47","92","22","0","0","8","1","17"
"*04ej3*","Riley O'Brien","STL","RP","207","Sasso","Active","31","161","4.74","91%","0%","34.1","3.93","34","3","15","29","11","20","1","0","6","34"
