"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-","IP","ERA","K","W","ER","H","BB","SV","HLD","QS","HB","GP"
"*061yu*","Jacob Misiorowski","MIL","SP","1","Jpanner","Active","24","463","23.15","100%","0%","120","1.57","185","11","21","62","28","0","0","12","9","20"
"*05u6q*","Cam Schlittler","NYY","SP","4","JMerkle","Active","25","411","18.68","99%","0%","130.1","2.07","157","10","30","96","25","0","0","13","5","22"
"*052c8*","Cristopher Sanchez","PHI","SP","7","Sethmc44","Active","29","373","16.95","100%","0%","138.2","2.73","157","13","42","139","28","0","0","15","4","22"
"*05r8n*","Yoshinobu Yamamoto","LAD","SP","10","Sasso","Active","27","354","18.63","100%","0%","125.2","2.72","118","11","38","85","28","0","0","15","3","19"
"*03df2*","Dylan Cease","TOR","SP","13","Sasso","Active","30","343","18.05","100%","0%","113.1","2.46","167","7","31","75","48","0","0","9","3","19"
"*01uca*","Chris Sale","ATL","SP","17","zyoung51","Active","37","339","17.84","100%","0%","111","2.19","134","11","27","91","26","0","0","12","10","19"
"*01sb3*","Zack Wheeler","PHI","SP","23","KRetiree","Active","36","324","19.06","99%","0%","103","2.53","123","10","29","72","23","0","0","12","2","17"
"*03caf*","Foster Griffin","WSH","SP,RP","27","Coop","Active","31","319","15.19","92%","0%","124","2.76","113","12","38","100","28","0","0","12","8","21"
"*05rb3*","Chase Burns","CIN","SP","30","Coop","Active","23","316","16.63","100%","0%","107.2","2.42","124","12","29","80","39","0","0","9","0","19"
"*05tzn*","Parker Messick","CLE","SP","31","Hutch","Active","25","315","15","98%","0%","125.1","2.59","122","8","36","94","36","0","0","8","1","21"
"*05ucd*","Mason Miller","SD","RP","40","kyfaess","Active","27","305","7.26","99%","0%","43.2","0.82","80","2","4","21","15","27","0","0","1","42"
"*041r1*","Jesus Luzardo","PHI","SP","41","CLANK","Active","28","302","14.38","99%","0%","122.1","3.31","152","9","45","105","38","0","0","11","8","21"
"*051bm*","Louis Varland","TOR","RP","57","GoldTY","Active","28","299","6.23","89%","0%","53","1.02","72","3","6","37","14","22","5","0","0","48"
"*05jp7*","Gavin Williams","CLE","SP","46","KRetiree","Active","27","298","14.19","99%","0%","126.1","3.78","156","10","53","102","37","0","0","8","3","21"
"*04n0m*","Logan Gilbert","SEA","SP","50","KRetiree","Active","29","295","14.05","100%","0%","125.2","3.44","133","8","48","98","27","0","0","9","5","21"
"*05wru*","Paul Skenes","PIT","SP","51","GoldTY","Active","24","294","13.36","100%","0%","120.2","3.65","149","9","49","100","28","0","0","10","8","22"
"*04eee*","Drew Rasmussen","TB","SP","54","Hutch","Active","31","292","14.6","99%","0%","111.1","3.07","112","9","38","84","19","0","0","11","6","20"
"*05y7s*","Nolan McLean","NYM","SP","65","joeybats","Active","25","286","13.62","99%","0%","119.1","3.32","142","7","44","90","43","0","0","12","13","21"
"*02yc4*","Shohei Ohtani","LAD","UT,SP","16","Greenbet","Active","32","282","2.79","100%","0%","85.2","1.79","95","8","17","55","26","0","0","12","6","101"
"*05a2d*","Max Meyer","MIA","SP","72","Kipp","Inj Res","27","279","13.95","95%","0%","111","2.68","121","9","33","85","41","0","0","7","7","20"
"*05y9r*","Justin Wrobleski","LAD","SP,RP","78","Sethmc44","Active","26","276","16.24","89%","0%","106.2","2.62","80","11","31","87","21","0","0","12","3","17"
"*04eor*","Cade Smith","CLE","RP","82","CLANK","Active","27","274","6.09","99%","0%","48","2.63","67","3","14","40","11","29","0","0","1","45"
"*0260v*","Sonny Gray","BOS","SP","83","kyfaess","Active","36","274","14.42","99%","0%","106.2","2.78","93","12","33","96","28","0","0","13","3","19"
"*04ps7*","Joe Ryan","MIN","SP","85","Hutch","Active","30","271","12.9","99%","0%","114.1","3.38","131","6","43","101","25","0","0","11","5","21"
"*05xod*","Sean Burke","CHW","SP","86","Greenbet","Active","26","271","12.9","90%","+2%","118.1","3.19","130","7","42","97","35","0","0","8","8","21"
"*029si*","Eduardo Rodriguez","ARI","SP","87","zyoung51","Active","33","269","12.81","92%","0%","122.2","2.64","86","9","36","108","44","0","0","13","0","21"
"*04ptt*","Tarik Skubal","DET","SP","95","JMerkle","Active","29","264","17.6","100%","0%","90","2.70","110","7","27","70","13","0","0","8","4","15"
"*02c4q*","Nick Martinez","TB","SP,RP","96","Kipp","Active","35","264","13.2","92%","0%","117.1","2.45","67","10","32","109","20","0","0","11","3","20"
"*02hjp*","Jacob deGrom","TEX","SP","100","kyfaess","Active","38","262","13.1","100%","0%","110.1","3.67","132","7","45","94","24","0","0","8","0","20"
"*04c0o*","Jose Soriano","LAA","SP","105","CLANK","Active","27","260","11.82","98%","0%","123","3.37","127","9","46","97","57","0","0","8","4","22"
"*041w4*","Bryan Baker","TB","RP","111","Hutch","Active","31","258","6.14","87%","0%","40.1","1.56","43","1","7","21","13","28","2","0","1","42"
"*01ut7*","Nathan Eovaldi","TEX","SP","116","zyoung51","Active","36","256","12.8","99%","0%","122.1","4.05","130","10","55","114","29","0","0","11","6","20"
"*04pmq*","Braxton Ashcraft","PIT","SP,RP","115","zyoung51","Active","26","256","12.19","98%","0%","122.1","4.05","135","10","55","115","30","0","0","10","6","21"
"*04pr8*","Taj Bradley","MIN","SP","124","Sethmc44","Active","25","253","12.65","95%","0%","114.2","3.69","129","9","47","94","46","0","0","9","2","20"
"*03btv*","Sandy Alcantara","MIA","SP","128","zyoung51","Active","30","250","11.36","99%","0%","143.2","4.01","110","10","64","139","38","0","0","15","7","22"
"*03div*","Jake Latz","TEX","SP,RP","132","GoldTY","Active","30","249","6.38","87%","0%","49","1.84","51","2","10","22","11","20","2","0","0","39"
"*0510l*","Emerson Hancock","SEA","SP","136","CLANK","Active","27","246","12.95","88%","0%","105.1","3.16","97","6","37","80","26","0","0","10","4","19"
"*05ge9*","Shota Imanaga","CHC","SP","138","zyoung51","Active","32","245","11.67","98%","0%","121","3.72","113","7","50","104","29","0","0","9","3","21"
"*02iug*","Michael Wacha","KC","SP","139","Coop","Active","35","244","11.62","94%","0%","132.1","3.60","104","5","53","117","38","0","0","14","5","21"
"*041wv*","Michael King","SD","SP","145","JMerkle","Active","31","237","11.29","99%","0%","119.1","3.24","103","6","43","91","49","0","0","10","9","21"
"*025j1*","Robbie Ray","SF","SP","148","Kipp","Active","34","235","11.19","97%","0%","116.2","3.16","101","9","41","97","56","0","0","8","0","21"
"*0596g*","Reid Detmers","LAA","SP,RP","149","Coop","Active","27","234","11.14","90%","+1%","120","4.05","136","3","54","95","37","0","0","8","4","21"
"*05gef*","Cade Cavalli","WSH","SP","158","Jpanner","Active","27","230","10.45","89%","+5%","110.2","3.58","127","7","44","109","34","0","0","10","12","22"
"*03poo*","Peter Lambert","HOU","SP","160","Sethmc44","Active","29","228","13.41","78%","+3%","98","3.03","94","8","33","72","38","0","0","8","7","17"
"*05sr2*","Michael McGreevy","STL","SP","166","JMerkle","Active","26","226","11.3","83%","+1%","114.1","3.07","74","4","39","102","27","0","0","13","0","20"
"*05a1v*","Keider Montero","DET","SP,RP","170","Kipp","Active","26","225","9.78","69%","+14%","110.1","3.34","79","7","41","89","23","1","0","7","4","23"
"*05js3*","Kyle Harrison","MIL","SP","172","joeybats","Reserve","24","224","13.18","92%","0%","83.2","3.01","101","8","28","70","20","0","0","6","4","17"
"*04pxf*","Davis Martin","CHW","SP","174","KRetiree","Active","29","223","11.15","91%","0%","111","3.49","100","9","43","108","33","0","0","10","6","20"
"*04pkt*","J.T. Ginn","ATH","SP","175","Sethmc44","Inj Res","27","222","10.09","77%","0%","109.1","3.46","100","8","42","84","49","0","0","9","6","22"
"*04aqc*","David Bednar","NYY","RP","189","JMerkle","Active","31","221","5.26","97%","0%","45","2.40","50","4","12","33","14","21","0","0","2","42"
"*04apj*","Jhoan Duran","PHI","RP","147","Jpanner","Active","28","221","5.82","99%","0%","35.1","2.04","53","1","8","30","6","24","0","0","2","38"
"*04mlf*","Casey Mize","DET","SP","177","GoldTY","Active","29","220","13.75","94%","0%","86.2","2.70","85","4","26","67","19","0","0","8","1","16"
"*03dfa*","Tanner Scott","LAD","RP","178","kyfaess","Active","32","220","4.89","83%","+1%","42.2","2.32","55","1","11","28","6","16","7","0","1","45"
