"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-","IP","ERA","K","W","ER","H","BB","SV","HLD","QS","HB","GP"
"*05ajh*","Garrett Crochet","BOS","SP","719","Kipp","Inj Res","26","37","6.17","99%","0%","30","6.30","37","3","21","33","11","0","0","3","4","6"
"*02n4s*","Matthew Boyd","CHC","SP","737","Sethmc44","Inj Res","35","35","7","81%","-1%","24","6.00","31","2","16","25","6","0","0","1","0","5"
"*0316j*","Nick Pivetta","SD","SP","750","Sethmc44","Inj Res","33","34","8.5","85%","0%","16","4.50","24","1","8","12","6","0","0","0","0","4"
"*05g4k*","Mick Abel","MIN","SP","764","Jpanner","Inj Res","24","32","8","68%","+2%","20.1","3.98","23","1","9","22","10","0","0","2","3","4"
"*05uc7*","Noah Schultz","CHW","SP","765","Sasso","Reserve","22","32","4","60%","0%","38.2","5.82","33","2","25","30","22","0","0","2","4","8"
"*05jpk*","Joe Boyle","TB","SP","828","Jpanner","Minors","26","22","7.33","32%","-1%","15.2","5.17","16","0","9","11","6","0","0","1","0","3"
"*05gww*","Cade Horton","CHC","SP","837","CLANK","Inj Res","24","21","10.5","65%","0%","7.1","2.45","4","1","2","4","2","0","0","1","0","2"
"*060i2*","Jake Bennett","BOS","SP","864","Coop","Active","25","19","4.75","26%","-2%","20.2","4.79","13","1","11","21","5","0","0","0","1","4"
"*041qo*","Zac Gallen","ARI","SP","723","CLANK","Reserve","30","17","1.06","75%","-3%","79.2","6.10","52","3","54","105","25","0","0","3","3","16"
"*05raz*","Chase Petty","CIN","SP","884","JMerkle","Reserve","23","16","2.67","24%","-1%","16.1","4.41","5","1","8","13","3","0","0","0","2","6"
"*02my5*","Edwin Diaz","LAD","RP","886","zyoung51","Inj Res","32","16","2.29","91%","0%","6","10.50","10","1","7","9","5","4","0","0","1","7"
"*0658b*","Jonah Tong","NYM","SP","906","joeybats","Minors","23","14","4.67","62%","-1%","10","3.60","7","1","4","8","7","0","0","0","0","3"
"*041ps*","Nick Lodolo","CIN","SP","934","joeybats","Active","28","11","1.38","91%","-1%","42.2","6.12","32","2","29","51","17","0","0","2","8","8"
"*05h2u*","Jared Jones","PIT","SP","955","Jpanner","Active","24","10","2.5","84%","-2%","17.1","6.23","18","1","12","22","6","0","0","0","0","4"
"*04pqd*","Drew Rom","MIL","SP","958","Greenbet","Reserve","26","10","2.5","2%","0%","5.1","3.38","10","0","2","6","4","0","0","0","0","4"
"*04t40*","Brayan Bello","BOS","SP","1005","Jpanner","Reserve","27","6","0.5","43%","-2%","61","6.34","44","2","43","78","24","0","0","1","1","12"
"*04s1h*","Luis Gil","NYY","SP","1013","CLANK","Minors","28","6","1.5","44%","-1%","19.1","6.05","9","1","13","15","11","0","0","1","3","4"
"*05xoo*","Elmer Rodriguez","NYY","SP","1103","GoldTY","Minors","22","0","0","43%","0%","13","4.15","6","0","6","15","9","0","0","0","3","3"
"*04aea*","Hunter Greene","CIN","SP","4336","Greenbet","Inj Res","26","0","0","93%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*041rf*","Shane Bieber","TOR","SP","1837","Sasso","Reserve","31","0","0","81%","+1%","0","0","0","0","0","0","0","0","0","0","0","0"
