"ID","Player","Team","Position","RkOv","Status","Age","FPts","FP/G","Ros","+/-","AB","R","H","1B","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","GIDP","GP"
"*04up9*","Heriberto Hernandez","MIA","OF","341","FA","26","104.5","2.13","22%","-1%","146","15","34","24","2","1","7","28","14","41","5","2","1","0","49"
"*01t9q*","Gary Sanchez","MIL","C","346","FA","33","104","2.31","24%","-2%","117","22","26","14","4","1","7","21","25","28","0","0","2","5","45"
"*05135*","Jake Mangum","PIT","OF","342","FA","30","103.5","1.78","31%","+1%","156","20","46","39","6","0","1","12","10","29","13","3","2","4","58"
"*04pqq*","Matt Vierling","DET","OF","349","FA","29","103.5","1.62","10%","-1%","187","17","37","21","10","1","5","25","17","35","2","2","0","4","64"
"*04pmt*","Jeremiah Jackson","BAL","2B,OF","353","FA","26","102.5","1.71","25%","-3%","178","20","46","32","7","0","7","31","4","37","1","1","1","10","60"
"*02i3l*","Miguel Andujar","SD","3B","351","FA","31","102.5","1.9","24%","-5%","189","18","48","29","12","2","5","17","7","33","2","2","2","6","54"
"*04ppk*","Richie Palacios","TB","2B,OF","354","FA","29","102.5","1.9","11%","-2%","149","21","35","26","6","2","1","21","22","37","7","4","3","4","54"
"*062ho*","Javier Sanoja","MIA","3B,OF,RP","360","FA","23","102","1.7","17%","-1%","170","14","42","28","12","0","2","24","11","20","3","1","0","2","60"
"*05r9j*","Marcelo Mayer","BOS","2B,3B,SS","370","W <small>(Sun)</small>","23","100.5","1.52","55%","-1%","192","18","43","32","8","0","3","22","16","39","3","0","3","5","66"
"*05tce*","Connor Norby","MIA","1B,3B","372","FA","26","99.5","1.6","33%","-2%","192","17","40","24","12","0","4","16","24","67","6","3","8","5","62"
"*03whq*","Ty France","SD","1B","371","FA","31","99.5","1.88","10%","-1%","151","17","38","22","6","2","8","24","9","41","1","1","2","5","53"
"*04si2*","Andrew Vaughn","MIL","1B","376","FA","28","99","2.68","63%","-1%","108","15","38","24","11","1","2","20","14","14","0","0","2","2","37"
"*05rbs*","Moises Ballesteros","CHC","UT","374","FA","22","99","1.68","56%","-2%","156","16","36","24","6","0","6","23","17","36","1","0","0","1","59"
"*025i9*","J.T. Realmuto","PHI","C","378","FA","35","98.5","1.89","52%","-2%","172","19","36","25","6","0","5","19","15","39","3","0","5","3","52"
"*05rko*","Brandon Valenzuela","TOR","C","379","FA","25","98.5","2.01","28%","-6%","138","17","36","23","6","0","7","19","17","37","1","0","0","1","49"
"*0518n*","Vaughn Grissom","LAA","1B,2B","375","FA","25","98.5","2.24","23%","-1%","145","14","34","20","10","0","4","27","15","19","0","0","3","7","44"
"*04an8*","Wenceel Perez","DET","OF","377","FA","26","98.5","1.86","15%","-1%","161","22","29","17","4","1","7","17","14","29","3","1","0","1","53"
"*06dqd*","Ben Williamson","TB","2B,3B","391","FA","25","95.5","1.74","13%","-1%","160","23","39","30","7","1","1","19","16","35","5","1","1","6","55"
"*03avk*","Luis Rengifo","MIL","2B,3B","395","FA","29","95","1.64","16%","-1%","185","19","38","29","9","0","0","19","19","24","3","2","1","2","58"
"*04ee8*","Heliot Ramos","SF","OF","396","FA","26","94.5","2.15","71%","-1%","165","19","44","27","12","1","4","20","10","47","0","0","0","1","44"
"*05rkq*","Jose Fernandez","ARI","1B,SS","401","FA","22","94","1.71","23%","-3%","165","23","42","32","7","0","3","15","7","40","7","2","1","2","55"
"*0310n*","Ryan McMahon","NYY","3B","403","FA","31","93.5","1.38","27%","-1%","184","19","39","27","4","0","8","23","15","61","3","1","0","5","68"
"*0406v*","Esteury Ruiz","MIA","OF","405","FA","27","93","2.21","17%","+6%","70","19","18","6","7","1","4","9","8","24","14","2","4","0","42"
"*04eew*","Ryan Vilade","TB","OF","408","FA","27","91.5","2.08","10%","-1%","111","11","32","22","5","1","4","25","12","23","3","0","0","2","44"
"*04q56*","Logan O'Hoppe","LAA","C","410","FA","26","91","1.75","44%","0%","160","19","39","27","8","0","4","20","14","42","0","0","3","3","52"
"*051dl*","Edouard Julien","COL","1B,2B","412","FA","27","90","1.38","13%","-1%","177","23","39","31","5","1","2","17","24","54","4","3","1","5","65"
"*04y94*","Jonny DeLuca","TB","OF","416","FA","27","89.5","2.08","14%","0%","123","18","33","19","11","0","3","20","5","27","7","2","0","5","43"
"*063vu*","Matt Shaw","CHC","3B,OF","422","FA","24","88","1.76","55%","0%","119","16","30","18","6","2","4","19","8","24","3","1","2","2","50"
"*05gx0*","Nick Loftin","KC","2B,3B,OF","421","FA","27","88","2.1","6%","+1%","113","15","27","13","12","1","1","20","17","18","0","0","3","2","42"
"*01usi*","Marcell Ozuna","PIT","UT","425","FA","35","87.5","1.65","32%","-2%","196","16","39","28","5","0","6","24","19","63","0","0","2","4","53"
"*031b3*","Isiah Kiner-Falefa","BOS","2B,SS","427","FA","31","87","1.85","13%","0%","119","19","33","27","4","0","2","13","12","18","7","2","0","3","47"
"*05xu0*","Drew Gilbert","SF","OF","433","FA","25","86","1.51","15%","0%","154","18","36","23","8","2","3","15","14","32","0","2","3","3","57"
"*029us*","Christian Vazquez","HOU","C","438","FA","35","84.5","1.66","13%","-3%","149","16","33","23","6","0","4","19","13","27","0","0","0","1","51"
"*05rc3*","Masataka Yoshida","BOS","UT","452","FA","32","84","1.68","14%","0%","144","15","36","27","7","1","1","10","15","20","2","0","3","1","50"
"*03pix*","Tyler Stephenson","CIN","C","443","FA","29","83.5","1.42","32%","-3%","181","14","38","26","7","0","5","19","24","57","0","1","0","4","59"
"*04ppo*","Kyle Isbel","KC","OF","442","FA","29","83.5","1.49","17%","-3%","164","16","40","29","7","1","3","11","10","41","5","0","3","4","56"
"*01s9c*","Randal Grichuk","CHW","OF,UT","441","FA","34","83.5","1.74","7%","0%","103","18","27","13","7","0","7","20","5","27","0","0","1","2","48"
"*03b6k*","Jorge Mateo","ATL","SS","447","FA","30","82.5","1.72","14%","-4%","101","25","28","19","5","0","4","11","6","31","7","1","0","2","48"
"*02yh5*","Amed Rosario","NYY","3B","448","FA","30","82.5","2.06","11%","-1%","110","15","27","16","4","1","6","20","8","25","1","0","0","1","40"
"*0513c*","Joey Ortiz","MIL","SS","460","FA","27","80","1.25","20%","0%","155","18","32","26","5","0","1","14","20","30","5","3","0","4","64"
"*031b2*","Jonah Heim","ATH","C","463","FA","30","79.5","2.34","12%","0%","102","14","26","12","8","0","6","16","9","19","0","0","0","2","34"
"*04ehj*","Dane Myers","CIN","OF","464","FA","30","79.5","1.35","6%","0%","103","17","27","19","5","0","3","13","15","31","5","0","2","3","59"
"*04eme*","Tristan Gray","MIN","2B,3B,SS","466","FA","30","79","1.65","9%","-1%","133","13","32","24","4","0","4","28","8","44","2","0","1","1","48"
"*05xu1*","Alex Freeland","LAD","2B,3B","470","FA","24","78","1.47","24%","-1%","150","18","36","27","6","0","3","17","18","50","1","0","1","4","53"
"*05jr5*","Blake Dunn","CIN","OF","469","FA","27","78","2.36","14%","-2%","124","19","35","26","6","1","2","5","9","28","6","2","2","2","33"
"*03qqb*","Myles Straw","TOR","OF","471","FA","31","77.5","1.16","5%","0%","120","24","29","22","5","0","2","9","13","21","2","1","0","1","67"
"*06c36*","Brice Matthews","HOU","2B,OF","482","FA","24","76","1.17","25%","-1%","175","18","36","24","5","1","6","18","12","60","2","4","0","3","65"
"*03qmr*","Nathan Lukes","TOR","OF","481","FA","31","76","1.77","18%","-1%","134","15","41","31","8","0","2","14","6","22","0","1","4","6","43"
"*0648z*","Victor Scott","STL","OF","490","FA","25","75","1.23","26%","-2%","155","19","30","24","4","0","2","9","16","44","9","4","2","3","61"
"*05a1t*","Jorbit Vivas","WSH","2B,3B","498","FA","25","73.5","1.31","6%","0%","136","17","34","26","7","0","1","10","13","21","0","1","4","3","56"
"*05t9l*","Max Muncy","ATH","3B","497","FA","23","73","2.09","44%","-3%","117","19","27","15","6","2","4","16","7","42","2","1","4","4","35"
"*04z8z*","Yohendrick Pinango","TOR","OF","500","FA","24","73","1.7","19%","0%","127","10","36","25","7","0","4","18","9","30","0","0","0","4","43"
"*02zpf*","Edmundo Sosa","PHI","2B,3B","502","FA","30","72.5","1.73","9%","+1%","115","15","27","18","4","1","4","18","3","27","2","0","3","2","42"
"*05y7t*","Henry Bolte","ATH","OF","499","FA","22","72","2.06","50%","0%","106","11","33","26","5","0","2","9","11","36","7","3","5","1","35"
"*06in4*","Hyeseong Kim","LAD","2B,SS","519","FA","27","68.5","1.59","30%","-1%","116","16","30","25","3","1","1","11","12","31","5","1","0","2","43"
"*05132*","Ryan Kreidler","MIN","OF","586","FA","28","68.5","1.96","4%","0%","74","15","20","11","3","2","4","18","9","17","0","2","1","3","35"
"*045gu*","TJ Friedl","CIN","OF","526","FA","30","68","1.45","33%","-2%","156","15","28","20","6","0","2","8","13","42","5","0","4","1","47"
"*05oxc*","Henry Davis","PIT","C","525","FA","26","68","1.39","11%","-1%","132","14","18","9","4","0","5","17","14","32","1","1","4","3","49"
"*02bqh*","Trevor Story","BOS","SS","530","FA","33","67.5","1.65","59%","-1%","165","16","34","24","7","0","3","19","8","57","4","0","1","6","41"
"*03xs3*","Miguel Amaya","CHC","C","533","FA","27","66.5","1.55","14%","-1%","102","16","23","15","5","0","3","10","15","25","0","0","6","5","43"
"*05r3s*","Alejandro Osuna","TEX","OF","534","FA","23","66.5","1.58","7%","0%","107","13","27","24","3","0","0","11","12","19","4","2","6","2","42"
"*05rcd*","Joe Mack","MIA","C","539","FA","23","66","1.89","36%","+1%","106","16","27","19","5","0","3","16","9","30","0","0","1","2","35"
"*02z0t*","Michael Conforto","CHC","OF","538","FA","33","66","1.38","9%","-1%","99","12","22","9","9","0","4","13","16","36","1","0","0","2","48"
"*041qv*","Alex Call","LAD","OF","537","FA","31","65.5","1.46","5%","0%","91","16","23","18","5","0","0","14","14","17","1","1","3","2","45"
"*01usr*","Kyle Higashioka","TEX","C","546","FA","36","65","1.55","9%","-1%","123","15","28","20","3","0","5","14","12","36","0","0","1","5","42"
"*066cn*","Wade Meckler","LAA","OF","568","FA","26","64","2.46","23%","-4%","78","12","23","15","6","0","2","13","9","18","2","0","0","0","26"
"*02nqg*","Luis Torrens","NYM","C","553","FA","30","63.5","1.35","5%","-1%","128","15","28","18","9","0","1","15","5","29","0","0","4","1","47"
"*04sxv*","Jose Tena","WSH","3B","552","FA","25","63.5","1.13","5%","0%","134","19","29","18","7","1","3","14","9","47","1","0","1","5","56"
"*04z6k*","Luisangel Acuna","CHW","2B,SS,OF","555","FA","24","63","1.17","28%","-1%","124","13","26","24","2","0","0","8","7","24","12","2","1","4","54"
"*05jq3*","Joey Wiemer","WSH","OF","559","FA","27","62.5","1.95","14%","-1%","70","16","20","11","5","1","3","12","12","29","1","0","1","2","32"
"*041w3*","Eli White","ATL","OF","558","FA","31","62.5","1.39","4%","0%","92","12","21","13","4","1","3","14","6","19","2","0","1","1","45"
"*0513l*","Brenton Doyle","COL","OF","560","FA","28","62","1.44","39%","-1%","111","21","23","18","4","0","1","4","11","40","9","2","0","0","43"
"*03zbp*","Jose Fermin","STL","2B,OF","562","FA","27","61.5","1.4","4%","0%","105","9","28","21","5","0","2","14","8","17","2","0","0","4","44"
"*01t5w*","Miguel Rojas","LAD","2B,SS","570","FA","37","61","1.2","7%","0%","111","11","29","22","5","0","2","12","9","14","0","1","2","5","51"
"*04eey*","MJ Melendez","NYM","OF","569","FA","27","61","1.2","5%","0%","110","14","21","11","5","1","4","11","15","46","0","1","5","0","51"
"*05145*","Darell Hernaiz","ATH","SS","573","FA","24","60.5","1.29","7%","-1%","118","12","28","24","3","0","1","7","13","23","3","0","1","1","47"
"*01uc9*","Nick Castellanos","(N/A)","OF","579","FA","34","59","1.51","19%","-2%","115","9","22","13","5","0","4","20","5","34","2","0","0","1","39"
"*04psr*","David Fry","CLE","OF,UT","580","FA","30","59","1.26","7%","0%","101","14","23","15","4","0","4","9","18","36","0","0","0","3","47"
"*0514k*","Pedro Pages","STL","C","581","FA","27","58.5","1.39","10%","-1%","127","12","28","18","6","0","4","11","5","33","2","0","2","5","42"
"*04o2x*","Davis Schneider","TOR","OF","588","FA","27","57.5","1.28","8%","+2%","91","16","15","7","5","0","3","11","18","35","1","0","0","1","45"
"*04prc*","Brandon Lockridge","MIL","OF","587","FA","29","57.5","2.05","8%","0%","85","9","25","21","4","0","0","12","10","25","5","0","0","0","28"
"*04emt*","Jake Meyers","HOU","OF","598","FA","30","56.5","1.38","17%","-1%","119","13","25","17","5","0","3","11","9","27","1","2","1","3","41"
"*039vx*","Jose Siri","LAA","OF","623","FA","30","56.5","1.95","6%","0%","58","14","17","10","3","0","4","16","5","17","0","1","1","2","29"
"*05128*","Jared Triolo","PIT","SS","599","FA","28","56","1.27","12%","0%","133","13","31","26","5","0","0","8","11","38","5","1","2","4","44"
"*05lo5*","Freddy Fermin","SD","C","604","FA","31","55.5","1.09","9%","-1%","122","14","18","10","5","0","3","11","14","29","0","1","2","2","51"
