"ID","Player","Team","Position","RkOv","Status","Age","FPts","FP/G","Ros","+/-","AB","R","H","1B","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","GIDP","GP"
"*064n8*","Nathan Church","STL","OF","332","FA","26","142","1.73","21%","-3%","251","30","58","40","9","1","8","29","13","56","5","3","2","4","82"
"*04g7n*","Oswald Peraza","LAA","2B,3B","333","FA","26","141.5","1.63","24%","-2%","264","27","64","44","11","2","7","24","10","83","12","2","6","6","87"
"*0317o*","Jeff McNeil","ATH","2B,OF","335","FA","34","141","1.6","28%","-1%","271","26","64","50","11","0","3","30","22","36","2","2","4","9","88"
"*05js5*","Coby Mayo","BAL","1B,3B","337","FA","24","140.5","1.78","41%","0%","235","32","46","24","9","0","13","35","19","87","2","0","3","3","79"
"*0515v*","David Hamilton","MIL","2B,3B,SS","339","FA","28","140","1.89","20%","-2%","204","31","49","38","6","2","3","15","22","54","18","5","1","1","74"
"*051em*","Kerry Carpenter","DET","OF","340","FA","28","139.5","1.81","67%","-3%","218","26","45","25","5","2","13","36","18","73","0","0","5","2","77"
"*05gx0*","Nick Loftin","KC","2B,3B,OF","344","FA","27","138.5","2.16","15%","-1%","189","27","45","25","15","1","4","30","21","29","1","0","5","6","64"
"*0518n*","Vaughn Grissom","LAA","1B,2B","347","FA","25","136.5","2.27","20%","+1%","199","23","51","33","13","0","5","37","18","31","0","0","4","9","60"
"*02i3l*","Miguel Andujar","SD","3B","350","FA","31","133","1.8","20%","0%","239","24","62","35","20","2","5","22","11","38","2","2","4","12","74"
"*04pqq*","Matt Vierling","DET","OF","351","FA","29","133","1.56","9%","0%","249","23","51","32","12","2","5","30","19","46","4","2","0","4","85"
"*04si2*","Andrew Vaughn","MIL","1B","354","FA","28","132.5","2.28","55%","-4%","157","21","49","29","15","2","3","26","20","21","0","0","2","3","58"
"*0513c*","Joey Ortiz","MIL","3B,SS","357","FA","28","132","1.52","23%","+2%","225","27","51","38","8","0","5","26","24","46","7","4","0","6","87"
"*05rc3*","Masataka Yoshida","BOS","UT","358","FA","33","131.5","2.02","16%","+2%","191","25","51","35","11","1","4","18","19","25","2","0","3","1","65"
"*03nru*","Jesus Sanchez","TOR","OF","361","FA","28","131","1.79","38%","-1%","215","22","59","38","14","0","7","29","10","52","1","1","5","4","73"
"*03pix*","Tyler Stephenson","CIN","C","368","FA","29","129.5","1.7","32%","+1%","238","20","58","39","11","0","8","27","28","67","0","1","0","4","76"
"*01t9q*","Gary Sanchez","MIL","C","367","FA","33","129.5","2.35","20%","-1%","143","26","32","18","5","1","8","25","35","31","0","0","2","6","55"
