"ID","Player","Team","Position","RkOv","Status","Age","FPts","FP/G","Ros","+/-","IP","ERA","K","W","ER","H","BB","SV","HLD","QS","HB","GP"
"*02myt*","Steven Okert","HOU","RP","262","FA","35","171","3.42","25%","0%","50.2","2.13","52","2","12","30","12","0","13","0","2","50"
"*04rzp*","Rico Garcia","BAL","RP","271","FA","32","168","3.65","56%","-2%","43","2.72","44","4","13","24","14","4","12","0","0","46"
"*05a29*","Carmen Mlodzinski","PIT","SP,RP","299","FA","27","156","7.09","30%","0%","86.1","3.34","69","6","32","87","30","2","2","1","2","22"
"*05xz4*","Michael Petersen","MIA","RP","304","FA","32","154","3.76","33%","0%","43.1","2.91","51","1","14","26","17","1","17","0","2","41"
"*032lk*","Sean Newcomb","CHW","SP,RP","314","FA","33","151","4.08","22%","0%","56","2.41","55","0","15","41","20","3","8","0","5","37"
"*04pps*","Hogan Harris","ATH","RP","316","FA","29","151","3.15","40%","-1%","44.2","3.22","60","3","16","40","28","7","10","0","4","48"
"*04q05*","Alex Vesia","LAD","RP","326","FA","30","148","3.29","50%","-1%","34.1","2.62","49","1","10","18","23","3","16","0","0","45"
"*04z9e*","George Soriano","STL","RP","329","FA","27","147","3.27","16%","0%","44.1","3.25","40","3","16","31","16","2","16","0","1","45"
"*03ann*","Jeff Hoffman","TOR","RP","332","FA","33","145","3.15","65%","-1%","43","4.40","67","5","21","45","16","5","11","0","5","46"
"*04xne*","Yoendrys Gomez","MIN","SP,RP","336","FA","26","144","3.51","56%","0%","45.2","3.55","40","1","18","37","21","12","6","0","3","41"
"*0429k*","Colin Holderman","CLE","RP","343","FA","30","141","3.71","23%","-1%","37.2","1.91","40","5","8","20","14","1","8","0","3","38"
"*04y76*","Jacob Webb","CHC","RP","349","FA","32","139","3.16","32%","0%","43.1","2.91","50","3","14","40","17","5","7","0","0","44"
"*01vxp*","Brooks Raley","NYM","RP","356","FA","38","135","3.29","18%","-1%","36.2","1.96","38","4","8","27","14","0","13","0","3","41"
"*04y9f*","Ryan Zeferjahn","LAA","RP","357","FA","28","135","3.29","14%","0%","47","3.83","66","4","20","25","31","3","7","0","8","41"
"*05ydo*","Juan Morillo","ARI","RP","358","FA","27","135","3.07","23%","-1%","40.2","2.88","48","3","13","28","16","1","11","0","2","44"
"*06491*","Orion Kerkering","PHI","RP","363","FA","25","133","3.17","31%","-1%","39.1","2.75","44","6","12","26","23","1","10","0","3","42"
"*03d7h*","Mitch Keller","PIT","SP","365","W <small>(Fri)</small>","30","132","6.6","76%","-2%","108.1","4.90","83","6","59","105","37","0","0","9","8","20"
"*060ml*","Huascar Brazoban","NYM","SP,RP","366","FA","36","132","3.14","14%","0%","49","2.76","46","4","15","30","22","0","7","0","1","42"
"*03pov*","Brady Singer","CIN","SP","367","FA","29","132","6.6","65%","+3%","103.1","4.53","88","5","52","111","32","0","0","7","8","20"
"*041rj*","JoJo Romero","STL","RP","370","FA","29","131","2.98","44%","-3%","43","3.35","43","1","16","40","16","0","21","0","4","44"
"*06mi0*","Bryan King","HOU","RP","372","FA","29","130","3.1","27%","-13%","45","3.40","35","2","17","43","16","6","12","0","4","42"
"*02mwd*","Paul Blackburn","NYY","RP","377","FA","32","129","3.69","6%","0%","54","2.00","41","3","12","39","18","1","1","0","1","35"
"*02zoa*","Antonio Senzatela","COL","SP,RP","380","FA","31","128","4.13","35%","-2%","50","3.60","44","9","20","46","16","3","2","0","1","31"
"*04ddz*","Yohan Ramirez","PIT","RP","383","FA","31","127","3.02","9%","0%","53.1","3.21","59","6","19","41","31","1","6","0","10","42"
"*02f9m*","Jakob Junis","TEX","RP","385","FA","33","126","3.82","32%","-1%","37","2.92","29","1","12","34","6","5","12","0","3","33"
"*05jrv*","Will Klein","LAD","SP,RP","386","FA","26","126","3.71","19%","-1%","39.1","2.75","45","3","12","39","18","2","12","0","2","34"
"*03svw*","Bryan Hudson","CHW","SP,RP","387","FA","29","126","2.93","12%","0%","42.1","2.13","40","3","10","36","16","3","6","0","4","43"
"*05143*","Hunter Gaddis","CLE","RP","389","FA","28","126","3.32","37%","0%","33","2.45","31","1","9","32","10","1","19","0","1","38"
"*03qjz*","Taylor Clarke","ARI","RP","395","FA","33","125","2.78","15%","-1%","45","2.40","24","2","12","30","9","0","12","0","3","45"
"*05y2k*","Mason Montgomery","PIT","SP,RP","398","FA","26","124","3.02","25%","0%","40.1","3.79","60","3","17","31","19","1","9","0","0","41"
"*04eku*","John King","MIA","RP","399","FA","31","124","3.1","9%","0%","40","2.48","30","6","11","20","10","1","4","0","4","40"
"*0649e*","A.J. Blubaugh","HOU","RP","403","FA","26","123","3.24","14%","0%","63","3.86","66","4","27","50","31","0","5","0","1","38"
"*02nb6*","Drew Anderson","DET","SP,RP","404","FA","32","123","3.42","14%","-1%","58.1","4.17","73","3","27","54","23","2","5","0","4","36"
