"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-"
"*05sr2*","Michael McGreevy","STL","SP","142","JMerkle","Active","25","152","11.69","82%","-2%"
"*04q2n*","Adley Rutschman","BAL","C","143","Jpanner","Active","28","152","3.04","98%","0%"
"*04nqx*","Ezequiel Duran","TEX","2B,SS,OF","144","kyfaess","Reserve","27","151.5","2.52","73%","-2%"
"*05ahe*","Curtis Mead","WSH","1B,3B","145","Kipp","Reserve","25","151.5","2.81","66%","-3%"
"*025gb*","Xander Bogaerts","SD","SS","147","Coop","Active","33","150","2.38","86%","-4%"
"*05r01*","Robert Suarez","ATL","RP","148","joeybats","Active","35","150","5.17","90%","-1%"
"*04pks*","Matt McLain","CIN","2B","149","Greenbet","Active","26","149.5","2.34","80%","0%"
"*0648n*","Chase Meidroth","CHW","2B,SS","150","Kipp","Active","24","149.5","2.3","72%","-1%"
"*05y7x*","Cole Young","SEA","2B","170","Kipp","Active","22","149.5","2.14","66%","-2%"
"*030uc*","Rafael Devers","SF","1B","151","Coop","Active","29","149","2.16","99%","0%"
"*05ge9*","Shota Imanaga","CHC","SP","152","zyoung51","Active","32","149","10.64","98%","-1%"
"*04pkt*","J.T. Ginn","ATH","SP","153","Sethmc44","Active","27","149","9.93","75%","0%"
"*03zbh*","Fernando Tatis Jr.","SD","2B,OF","156","Kipp","Active","27","148","2.24","99%","0%"
"*05g3x*","Maikel Garcia","KC","3B","154","Hutch","Active","26","148","2.39","98%","-1%"
"*041vm*","Dylan Lee","ATL","RP","155","JMerkle","Active","31","148","4.62","57%","0%"
"*04p10*","Bryson Stott","PHI","2B","157","zyoung51","Reserve","28","147.5","2.38","77%","-3%"
"*05y0j*","Spencer Arrighetti","HOU","SP","159","Sasso","Active","26","147","14.7","93%","0%"
"*01sy3*","Nolan Arenado","ARI","3B","158","joeybats","Active","35","147","2.3","75%","-4%"
"*0310z*","J.P. Crawford","SEA","SS","161","Coop","Reserve","31","146","2.61","54%","-5%"
"*06f1r*","Connelly Early","BOS","SP","162","KRetiree","Active","24","146","11.23","95%","-1%"
"*03ae8*","Dansby Swanson","CHC","SS","163","KRetiree","Active","32","145.5","2.24","85%","-4%"
"*03dgq*","Ryan O'Hearn","PIT","1B,OF","165","Coop","Active","32","145","2.74","94%","0%"
