"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-"
"*04etg*","Janson Junk","MIA","SP","495","Kipp","Reserve","30","66","6","27%","-3%"
"*05uo2*","Logan Henderson","MIL","SP","499","kyfaess","Inj Res","24","65","13","85%","-1%"
"*03nuc*","Luis Castillo","SEA","SP","498","zyoung51","Reserve","33","65","5","81%","-1%"
"*04pse*","Brendan Donovan","SEA","2B,3B","505","Jpanner","Reserve","29","64.5","2.48","84%","-1%"
"*01svz*","Kenley Jansen","DET","RP","507","KRetiree","Inj Res","38","64","3.56","75%","-1%"
"*02nax*","Matt Strahm","KC","RP","518","Jpanner","Active","34","62","2.95","30%","-2%"
"*04qnc*","Francisco Alvarez","NYM","C","519","joeybats","Inj Res","24","62","1.55","61%","+1%"
"*02bu3*","Brandon Woodruff","MIL","SP","525","JMerkle","Reserve","33","61","10.17","95%","0%"
"*05u9z*","Roman Anthony","BOS","OF","528","GoldTY","Inj Res","22","60.5","2.02","97%","0%"
"*03ql5*","Ryan Helsley","BAL","RP","546","Greenbet","Reserve","31","59","4.92","92%","0%"
"*05uc4*","Troy Melton","DET","SP,RP","550","Hutch","Active","25","58","14.5","71%","0%"
"*06dn7*","A.J. Ewing","NYM","OF","551","joeybats","Reserve","21","58","2.07","62%","-3%"
"*03poq*","Tony Santillan","CIN","RP","553","Kipp","Reserve","29","58","1.93","32%","-6%"
"*03d6w*","Jack Flaherty","DET","SP","559","CLANK","Reserve","30","57","4.07","69%","-2%"
"*041ma*","Cole Ragans","KC","SP","560","Sasso","Reserve","28","57","7.12","96%","0%"
"*02611*","Francisco Lindor","NYM","SS","566","Kipp","Inj Res","32","55.5","2.31","98%","0%"
"*06dlz*","Ryan Waldschmidt","ARI","OF","571","Sasso","Reserve","23","55","1.77","67%","-6%"
"*05ahg*","Austin Wells","NYY","C","575","CLANK","Reserve","26","54.5","1.16","38%","-4%"
"*01spo*","Gerrit Cole","NYY","SP","591","GoldTY","Active","35","52","13","98%","0%"
"*01cdf*","Giancarlo Stanton","NYY","UT","599","JMerkle","Inj Res","36","51.5","2.15","75%","-1%"
"*04y9p*","Anthony Volpe","NYY","SS","600","Greenbet","Reserve","25","51.5","2.58","56%","-3%"
"*060pm*","Wyatt Langford","TEX","OF","603","kyfaess","Active","24","51","1.96","97%","0%"
"*066cf*","Zebby Matthews","MIN","SP","604","kyfaess","Active","26","51","8.5","74%","-2%"
"*047l7*","Luis Robert Jr.","NYM","OF","607","Jpanner","Inj Res","28","50.5","2.1","78%","-1%"
"*05ybv*","Jackson Holliday","BAL","2B","608","GoldTY","Active","22","50","2.38","91%","-1%"
"*060ub*","Colt Emerson","SEA","SS","619","Sasso","Reserve","20","48.5","2.31","81%","-1%"
"*0524l*","Yainer Diaz","HOU","C","630","Greenbet","Reserve","27","47","1.74","60%","-1%"
"*061bo*","Rhett Lowder","CIN","SP","636","KRetiree","Reserve","24","46","5.11","62%","-2%"
"*06ktn*","Tatsuya Imai","HOU","SP","638","Sethmc44","Reserve","28","45","5.63","82%","0%"
"*05u4l*","Daniel Palencia","CHC","RP","639","KRetiree","Active","26","45","2.5","88%","-1%"
"*05t9g*","Gage Jump","ATH","SP","643","JMerkle","Active","23","45","15","69%","+1%"
"*02h8d*","Steven Matz","TB","SP,RP","644","Coop","Reserve","35","45","3.75","35%","-16%"
"*04k0w*","Camilo Doval","NYY","RP","654","Kipp","Reserve","28","43","1.48","24%","-2%"
"*046yd*","Dennis Santana","PIT","RP","657","Kipp","Reserve","30","43","1.48","40%","-4%"
"*05144*","Hunter Brown","HOU","SP","662","joeybats","Inj Res","27","42","21","99%","0%"
"*041qo*","Zac Gallen","ARI","SP","696","CLANK","Active","30","37","2.64","77%","-3%"
"*05ajh*","Garrett Crochet","BOS","SP","698","Kipp","Inj Res","26","37","6.17","99%","0%"
"*02n4s*","Matthew Boyd","CHC","SP","710","Sethmc44","Inj Res","35","35","7","82%","0%"
"*0596e*","Dylan Crews","WSH","OF","715","Sasso","Reserve","24","34.5","1.73","70%","-3%"
"*0316j*","Nick Pivetta","SD","SP","720","Sethmc44","Inj Res","33","34","8.5","85%","-1%"
"*04ak5*","Trevor Rogers","BAL","SP","730","Jpanner","Reserve","28","32","2.67","73%","-2%"
"*05g4k*","Mick Abel","MIN","SP","735","Jpanner","Inj Res","24","32","8","64%","+1%"
"*05uc7*","Noah Schultz","CHW","SP","736","Sasso","Reserve","22","32","4","60%","-1%"
"*05jse*","Tommy Troy","ARI","2B,OF","744","GoldTY","Reserve","24","30.5","1.79","36%","-2%"
"*02n96*","Josh Hader","HOU","RP","764","Coop","Active","32","27","6.75","96%","0%"
"*05tzo*","J.R. Ritchie","ATL","SP","775","GoldTY","Minors","22","26","5.2","48%","0%"
"*041ps*","Nick Lodolo","CIN","SP","786","joeybats","Active","28","23","3.83","91%","-2%"
"*05jpk*","Joe Boyle","TB","SP","798","Jpanner","Minors","26","22","7.33","33%","-1%"
"*05gww*","Cade Horton","CHC","SP","809","CLANK","Inj Res","24","21","10.5","65%","0%"
"*02yd1*","Jorge Polanco","NYM","UT","814","zyoung51","Inj Res","32","20.5","1.46","56%","-2%"
"*05tzp*","Jacob Gonzalez","CHW","2B,SS","821","GoldTY","Active","24","19.5","2.17","40%","-3%"
"*066n3*","Ryan Walker","SF","RP","828","CLANK","Minors","30","19","1.19","34%","-1%"
"*04qnd*","Noelvi Marte","CIN","OF","843","JMerkle","Reserve","24","18.5","1.09","68%","-3%"
"*050c3*","Jasson Dominguez","NYY","OF","846","CLANK","Inj Res","23","18","2","70%","0%"
"*05h2u*","Jared Jones","PIT","SP","847","Jpanner","Active","24","18","6","85%","0%"
"*05r3i*","Andrew Painter","PHI","SP","856","Jpanner","Reserve","23","17","1.42","72%","-4%"
"*04yi8*","Spencer Jones","NYY","OF","855","JMerkle","Reserve","25","17","1.21","60%","0%"
"*02my5*","Edwin Diaz","LAD","RP","863","zyoung51","Inj Res","32","16","2.29","90%","0%"
"*05r1m*","Jordan Lawlar","ARI","3B","864","JMerkle","Inj Res","23","16","2.67","69%","0%"
"*0658b*","Jonah Tong","NYM","SP","881","joeybats","Minors","22","14","4.67","63%","-5%"
"*05rcg*","Braden Montgomery","CHW","OF","893","Hutch","Minors","23","13","6.5","68%","+12%"
"*04t3y*","Alejandro Kirk","TOR","C","914","Coop","Inj Res","27","11","2.2","63%","0%"
"*05vy9*","Pedro Ramirez","CHC","2B,3B,SS","938","joeybats","Reserve","22","9.5","0.86","29%","-3%"
"*05t9n*","Carson Williams","TB","SS","948","KRetiree","Minors","22","8.5","0.71","45%","-1%"
"*060i2*","Jake Bennett","BOS","SP","957","Coop","Minors","25","8","2.67","28%","+2%"
"*04qii*","Addison Barger","TOR","3B,OF","977","JMerkle","Reserve","26","6.5","0.65","70%","-1%"
"*04t40*","Brayan Bello","BOS","SP","985","Jpanner","Reserve","27","6","0.5","45%","-12%"
"*04s1h*","Luis Gil","NYY","SP","991","CLANK","Minors","28","6","1.5","45%","-1%"
"*05rcj*","Edwin Arroyo","CIN","2B,SS","1006","GoldTY","Reserve","22","4.5","0.5","41%","-9%"
"*04pqd*","Drew Rom","MIL","SP","1021","Greenbet","Reserve","26","4","2","2%","0%"
"*05tzg*","Jace Jung","DET","3B","1024","Greenbet","Minors","25","3.5","1.17","19%","0%"
"*05gss*","Jeferson Quero","MIL","C","1068","Kipp","Minors","23","1","1","27%","0%"
"*05xoo*","Elmer Rodriguez","NYY","SP","1078","GoldTY","Reserve","22","0","0","43%","0%"
"*04aea*","Hunter Greene","CIN","SP","4321","Greenbet","Inj Res","26","0","0","92%","0%"
"*041rf*","Shane Bieber","TOR","SP","1812","Sasso","Inj Res","31","0","0","79%","0%"
"*05tq1*","Spencer Schwellenbach","ATL","SP","8515","kyfaess","Inj Res","26","0","0","72%","0%"
"*03deg*","Justin Steele","CHC","SP","8887","kyfaess","Inj Res","30","0","0","66%","0%"
"*05ydp*","Kade Anderson","SEA","SP","1317","Coop","Minors","21","0","0","65%","0%"
"*041rd*","Corbin Burnes","ARI","SP","2136","Sasso","Inj Res","31","0","0","65%","-6%"
"*02bqy*","Joe Musgrove","SD","SP","6725","Greenbet","Inj Res","33","0","0","65%","-1%"
"*0512m*","Ryan Pepiot","TB","SP","7293","kyfaess","Inj Res","28","0","0","63%","-1%"
"*067yc*","Leo De Vries","ATH","SS","3138","GoldTY","Minors","19","0","0","63%","0%"
"*05u9y*","Max Clark","DET","OF","2618","Hutch","Minors","21","0","0","62%","0%"
"*05wxy*","Kyle Teel","CHW","C","9108","Hutch","Inj Res","24","0","0","62%","0%"
"*05u3v*","Walker Jenkins","MIN","OF","5037","CLANK","Minors","21","0","0","62%","0%"
"*06ibv*","Jesus Made","MIL","SS","5824","Coop","Minors","19","0","0","62%","0%"
"*05tp6*","Thomas White","MIA","SP","9780","Coop","Minors","21","0","0","61%","-2%"
"*06alk*","Charlie Condon","COL","1B","2709","Jpanner","Minors","23","0","0","59%","0%"
"*050vn*","Quinn Priester","MIL","SP","7600","KRetiree","Inj Res","25","0","0","59%","-2%"
"*067yn*","Seth Hernandez","PIT","SP","4714","Jpanner","Minors","19","0","0","56%","0%"
"*0662o*","Sebastian Walcott","TEX","SS","9633","Hutch","Minors","20","0","0","55%","0%"
"*05u36*","Aidan Miller","PHI","SS","6412","Jpanner","Minors","22","0","0","55%","0%"
"*0603p*","Hurston Waldrep","ATL","SP","9635","zyoung51","Inj Res","24","0","0","54%","0%"
"*061zv*","Josue De Paula","LAD","OF","3133","GoldTY","Minors","21","0","0","54%","0%"
"*05gsc*","Jordan Westburg","BAL","3B","9752","Sasso","Inj Res","27","0","0","53%","-1%"
"*05rcf*","Joshua Baez","STL","OF","1522","Sasso","Minors","22","0","0","53%","0%"
"*06ier*","Ryan Sloan","SEA","SP","8719","kyfaess","Minors","20","0","0","52%","0%"
"*060la*","Jett Williams","MIL","2B,SS,OF","9828","CLANK","Minors","22","0","0","52%","0%"
"*05ynx*","River Ryan","LAD","SP","8270","Hutch","Minors","27","0","0","52%","-1%"
"*062cx*","Ethan Holliday","COL","SS","4839","JMerkle","Minors","19","0","0","52%","0%"
"*05zd4*","Hagen Smith","CHW","SP","8745","Sasso","Minors","22","0","0","51%","0%"
"*06n8y*","Eli Willits","WSH","SS","9847","Hutch","Minors","18","0","0","51%","0%"
"*06b72*","George Lombard Jr.","NYY","SS","5669","GoldTY","Minors","21","0","0","51%","0%"
"*06roc*","Liam Doyle","STL","SP","3352","Jpanner","Minors","22","0","0","50%","0%"
"*062h4*","Carlos Lagrange","NYY","SP","5408","GoldTY","Minors","23","0","0","49%","-1%"
"*06c78*","Franklin Arias","BOS","SS","1404","JMerkle","Minors","20","0","0","48%","0%"
"*06j3f*","Luis Pena","MIL","2B,SS","7270","kyfaess","Minors","19","0","0","48%","0%"
"*06eyu*","Zyhir Hope","LAD","OF","4862","joeybats","Minors","21","0","0","48%","0%"
"*06ktt*","Jamie Arnold","ATH","SP","1437","Hutch","Minors","22","0","0","48%","0%"
"*05rb0*","Jackson Jobe","DET","SP","5086","Greenbet","Inj Res","23","0","0","47%","0%"
"*06mh4*","Edward Florentino","PIT","OF","3738","joeybats","Minors","19","0","0","47%","0%"
"*06hx4*","Kaelen Culpepper","MIN","SS","2917","JMerkle","Minors","23","0","0","47%","0%"
"*05rfc*","Lazaro Montes","SEA","OF","6530","Sasso","Minors","21","0","0","46%","0%"
"*06c79*","Eduardo Quintero","LAD","OF","7653","Coop","Minors","20","0","0","46%","0%"
"*06mnp*","Rainiel Rodriguez","STL","C","8075","Coop","Minors","19","0","0","45%","0%"
"*043f9*","Pablo Lopez","MIN","SP","5715","KRetiree","Inj Res","30","0","0","45%","0%"
"*066ir*","James Tibbs III","LAD","OF","9194","zyoung51","Minors","23","0","0","45%","0%"
"*054p6*","Emmanuel Rodriguez","MIN","OF","8022","GoldTY","Minors","23","0","0","45%","0%"
"*062e0*","Cam Caminiti","ATL","SP","2254","GoldTY","Minors","19","0","0","44%","0%"
"*05ybr*","Ethan Salas","SD","C","8294","Kipp","Minors","20","0","0","44%","0%"
"*05yai*","Bryce Rainer","DET","SS","7670","Hutch","Minors","20","0","0","44%","0%"
"*06icx*","Tyler Bremner","LAA","SP","2001","Jpanner","Minors","22","0","0","43%","0%"
"*05u2p*","Jaxon Wiggins","CHC","SP","9804","Sethmc44","Minors","24","0","0","43%","0%"
"*06hea*","Caleb Bonemer","CHW","3B,SS","1898","KRetiree","Minors","20","0","0","43%","0%"
"*05ycl*","Travis Sykora","WSH","SP","9027","kyfaess","Minors","22","0","0","43%","0%"
"*06se6*","JoJo Parker","TOR","SS","7164","joeybats","Minors","19","0","0","43%","0%"
"*06cq8*","Christian Moore","LAA","2B","6556","KRetiree","Minors","23","0","0","42%","0%"
"*05y7n*","Jarlin Susana","WSH","SP","9011","Kipp","Minors","22","0","0","42%","0%"
"*067yp*","Ralphy Velazquez","CLE","1B","9520","Jpanner","Minors","21","0","0","42%","0%"
"*06f1b*","Brody Hopkins","TB","SP","4865","GoldTY","Minors","24","0","0","41%","0%"
"*06ps2*","Josuar Gonzalez","SF","SS","4225","Sasso","Minors","18","0","0","41%","0%"
"*06ms5*","Kyson Witherspoon","BOS","SP","9889","Sasso","Minors","21","0","0","41%","0%"
"*0637j*","Josue Briceno","DET","C,1B","2015","joeybats","Minors","21","0","0","41%","0%"
"*05raw*","Harry Ford","WSH","C","3781","GoldTY","Minors","23","0","0","40%","0%"
"*06626*","Alfredo Duno","CIN","C","3399","joeybats","Minors","20","0","0","40%","0%"
"*066ip*","Mike Sirota","LAD","OF","8708","kyfaess","Minors","22","0","0","40%","0%"
"*060gd*","Quinn Mathews","STL","SP","6072","Sethmc44","Minors","25","0","0","40%","0%"
"*06k7t*","Andrew Fischer","MIL","3B","3707","Sethmc44","Minors","22","0","0","39%","0%"
"*06pg6*","Aiva Arquette","MIA","SS","1443","Coop","Not On Team","22","0","0","38%","0%"
"*06utg*","Dax Kilby","NYY","SS","5259","Sasso","Minors","19","0","0","38%","0%"
"*06rm6*","Kendry Chourio","KC","SP","2588","Sasso","Minors","18","0","0","38%","0%"
"*060m8*","Jurrangelo Cijntje","STL","SP","2599","JMerkle","Minors","23","0","0","38%","0%"
"*062z7*","Karson Milbrandt","MIA","SP","6404","Hutch","Minors","22","0","0","38%","0%"
"*060yn*","Luis Lara","MIL","OF","5457","Hutch","Not On Team","21","0","0","37%","+5%"
"*06ibo*","Emil Morales","LAD","SS","6576","KRetiree","Minors","19","0","0","37%","0%"
"*06pll*","Ethan Conrad","CHC","OF","2720","Jpanner","Minors","21","0","0","36%","0%"
"*06mph*","Anthony Eyanson","BOS","SP","3582","Hutch","Minors","21","0","0","36%","0%"
"*05u2m*","Theo Gillen","TB","OF","4100","kyfaess","Minors","20","0","0","36%","0%"
"*06ujt*","Gage Wood","PHI","SP","9905","Sethmc44","Minors","22","0","0","36%","0%"
"*05js6*","Ricky Tiedemann","TOR","SP","9200","Greenbet","Minors","23","0","0","36%","0%"
"*05y3p*","Arjun Nimmala","TOR","SS","6820","Kipp","Minors","20","0","0","36%","0%"
"*05yid*","Michael Arroyo","SEA","2B","1452","Kipp","Minors","21","0","0","36%","0%"
"*067xj*","Cooper Pratt","MIL","SS","7586","Kipp","Minors","21","0","0","36%","0%"
"*060eu*","Ben Joyce","LAA","RP","5158","Coop","Inj Res","25","0","0","35%","0%"
"*071w9*","Luis Hernandez","SF","SS","4695","Coop","Not On Team","17","0","0","35%","0%"
"*06f1c*","Jack Wenninger","NYM","SP","9736","joeybats","Minors","24","0","0","34%","-1%"
"*05u1y*","Cam Collier","CIN","1B,3B","2680","CLANK","Minors","21","0","0","34%","0%"
"*05gbg*","Zac Veen","COL","OF","9502","JMerkle","Minors","24","0","0","34%","0%"
"*05r5e*","Angel Genao","CLE","3B,SS","4054","Sasso","Minors","22","0","0","33%","0%"
"*04px8*","Reese Olson","DET","SP","6975","CLANK","Inj Res","26","0","0","33%","0%"
"*06m0g*","Elian Pena","NYM","SS","7258","joeybats","Minors","18","0","0","33%","0%"
"*06rw2*","Steele Hall","CIN","SS","4473","kyfaess","Minors","18","0","0","33%","0%"
"*05ge1*","Ryan Clifford","NYM","1B,OF","2641","Kipp","Minors","22","0","0","33%","0%"
"*06c10*","Ike Irish","BAL","C,1B","4966","Sethmc44","Minors","22","0","0","32%","0%"
"*04tji*","Edwin Uceta","TB","RP","9358","Kipp","Inj Res","28","0","0","32%","-1%"
"*05xpj*","Tanner McDougal","CHW","SP","6158","Sethmc44","Minors","23","0","0","32%","0%"
"*066sx*","Jonny Farmelo","SEA","OF","3608","Kipp","Minors","21","0","0","32%","0%"
"*05mx9*","Felnin Celesten","SEA","SS","2484","Kipp","Minors","20","0","0","32%","0%"
"*06f1j*","Caden Scarborough","TEX","SP","8470","kyfaess","Minors","21","0","0","31%","0%"
"*06pi0*","Eric Hartman","ATL","2B,OF","4548","GoldTY","Minors","19","0","0","29%","0%"
"*06p5z*","Devin Fitz-Gerald","WSH","SS","3717","Hutch","Minors","20","0","0","29%","0%"
"*05t64*","Felix Bautista","BAL","RP","1670","Jpanner","Inj Res","30","0","0","28%","0%"
"*06bsb*","Eduardo Tait","MIN","C","9037","Greenbet","Minors","19","0","0","28%","0%"
"*04nq4*","Blaze Jordan","STL","1B,3B","5146","Sasso","Minors","23","0","0","28%","0%"
"*06qr6*","Nate George","BAL","OF","4064","Coop","Minors","20","0","0","27%","0%"
"*06psn*","Kevin Alvarez","HOU","OF","1280","Coop","Not On Team","18","0","0","27%","0%"
"*05y3q*","Blake Mitchell","KC","C","6457","Sethmc44","Minors","21","0","0","25%","0%"
"*05acp*","Justin Martinez","ARI","RP","6020","GoldTY","Inj Res","24","0","0","25%","0%"
"*06f0p*","Cooper Ingle","CLE","C","4958","Greenbet","Minors","24","0","0","25%","0%"
"*066iq*","Ben Hess","NYY","SP","4749","Sasso","Minors","23","0","0","25%","0%"
"*03yso*","A.J. Puk","ARI","RP","7618","Jpanner","Inj Res","31","0","0","22%","0%"
"*05jre*","Enrique Bradfield Jr.","BAL","OF","1964","CLANK","Minors","24","0","0","22%","0%"
"*05yb1*","Drew Thorpe","CHW","SP","9190","Greenbet","Inj Res","25","0","0","21%","0%"
"*06hsz*","John Gil","ATL","SS","4090","CLANK","Minors","20","0","0","21%","0%"
"*06dmp*","Max Anderson","DET","2B","1319","Jpanner","Minors","24","0","0","20%","0%"
"*062e5*","Vance Honeycutt","BAL","OF","4855","JMerkle","Minors","23","0","0","19%","0%"
"*067xg*","Nolan Perry","TOR","SP","7394","kyfaess","Minors","22","0","0","18%","0%"
"*06f14*","Ethan Pecko","HOU","SP","7227","joeybats","Minors","23","0","0","15%","0%"
"*06ien*","Dante Nori","PHI","OF","6848","Jpanner","Minors","21","0","0","13%","0%"
"*06qng*","Tyson Hardin","MIL","SP","4513","Hutch","Not On Team","24","0","0","12%","0%"
"*0630f*","Gabriel Rincones Jr.","PHI","OF","7893","Sethmc44","Minors","25","0","0","9%","0%"
"*03qqf*","Alexis Diaz","TEX","RP","3224","Greenbet","Minors","29","0","0","6%","0%"
"*06tu9*","Seong-Jun Kim","TEX","SS","5269","Greenbet","Minors","19","0","0","4%","0%"
"*05r3f*","Ryan Cusick","PHI","SP,RP","2943","Greenbet","Minors","26","0","0","2%","0%"
"*05xy2*","Patrick Winkel","TOR","C","9875","JMerkle","Minors","26","0","0","0%","0%"
"*061mh*","Robby Snelling","MIA","SP","10060","Hutch","Inj Res","22","-1","-1","58%","-1%"
"*05raz*","Chase Petty","CIN","SP","10070","JMerkle","Minors","23","-3","-1","25%","0%"
"*04pko*","Grayson Rodriguez","LAA","SP","10077","Coop","Active","26","-4","-0.8","68%","-8%"
"*02bqr*","Blake Snell","LAD","SP","10096","JMerkle","Reserve","33","-6","-6","90%","0%"
"*04a2t*","Kodai Senga","NYM","SP","10129","Coop","Reserve","33","-14","-2.8","58%","-1%"
