"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-","AB","R","H","1B","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","GIDP","GP"
"*04355*","Yordan Alvarez","HOU","OF","2","kyfaess","Active","29","421","4.13","100%","0%","372","69","122","68","20","0","34","77","66","76","1","0","5","4","102"
"*05rat*","James Wood","WSH","OF","3","CLANK","Active","23","419.5","4.07","100%","0%","396","94","107","53","25","1","28","69","81","141","15","2","4","4","103"
"*051wv*","Pete Crow-Armstrong","CHC","OF","5","JMerkle","Active","24","364","3.57","100%","0%","379","66","107","65","16","5","21","55","52","116","25","6","11","2","102"
"*04qk8*","CJ Abrams","WSH","SS","6","Greenbet","Active","25","363.5","3.67","100%","0%","371","62","106","60","20","2","24","76","36","91","16","4","10","5","99"
"*04ru7*","Miguel Vargas","CHW","1B,3B","8","kyfaess","Active","26","347.5","3.48","98%","0%","368","68","90","44","24","1","21","61","56","73","11","2","6","6","100"
"*05yo5*","Ben Rice","NYY","1B","9","Sasso","Active","27","347","3.58","100%","0%","361","66","100","50","17","3","30","71","49","98","2","0","3","10","97"
"*05xch*","Junior Caminero","TB","3B","10","Sasso","Active","23","343","3.4","100%","0%","383","65","111","66","16","0","29","62","57","80","2","2","1","18","101"
"*05gbf*","Jordan Walker","STL","OF","11","kyfaess","Active","24","337.5","3.41","96%","0%","381","64","110","67","21","0","22","76","35","105","14","5","3","8","99"
"*02yc4*","Shohei Ohtani","LAD","UT,SP","12","Greenbet","Active","32","336.5","3.43","100%","0%","360","66","102","61","17","2","22","60","62","99","6","2","5","6","98"
"*02mwm*","Matt Olson","ATL","1B","14","zyoung51","Active","32","332","3.29","100%","0%","393","68","106","55","25","0","26","60","46","106","2","0","2","4","101"
"*03e5m*","Bryan Reynolds","PIT","OF","15","GoldTY","Active","31","331.5","3.22","99%","0%","374","71","103","63","24","2","14","59","64","107","7","0","8","4","103"
"*04tjl*","Otto Lopez","MIA","SS","17","CLANK","Active","27","326","3.26","98%","0%","395","62","131","89","27","6","9","46","22","60","18","3","4","8","100"
"*04b00*","Brice Turang","MIL","2B","18","joeybats","Active","26","322.5","3.32","100%","0%","374","68","97","56","24","3","14","61","58","107","15","3","0","7","97"
"*05u9o*","Sal Stewart","CIN","1B,3B","19","Coop","Active","22","319.5","3.16","99%","0%","386","53","96","52","23","0","21","73","46","93","11","3","2","9","101"
"*03cag*","Kyle Schwarber","PHI","UT","21","Jpanner","Active","33","316","3.19","100%","0%","371","60","92","48","10","1","33","61","62","154","2","1","5","1","99"
"*01fh9*","Bryce Harper","PHI","1B","23","GoldTY","Active","33","315.5","3.06","100%","0%","363","61","93","51","19","2","21","60","63","91","5","4","1","9","103"
"*062k5*","Nick Kurtz","ATH","1B","24","Jpanner","Active","23","314","3.41","100%","0%","334","61","89","53","15","1","20","66","76","130","7","1","2","5","92"
"*04lgp*","Bobby Witt Jr.","KC","SS","25","Hutch","Active","26","310.5","3.3","100%","0%","369","51","103","67","22","1","13","39","41","73","30","5","1","6","94"
"*04ru5*","Andy Pages","LAD","OF","27","Hutch","Active","25","308.5","3.02","99%","0%","392","60","105","65","22","1","17","68","35","89","10","6","6","10","102"
