rank,player_name,team,position,age
126,Wilyer Abreu,BOS,"LF,CF,RF",26
127,Sal Stewart,CIN,"1B,2B,3B,DH",22
128,Ryan Waldschmidt,ARI,"LF,CF,RF",23
129,Steven Kwan,CLE,"LF,CF",28
130,Jasson Dominguez,NYY,"LF,CF,DH",23
131,Chandler Simpson,TB,"LF,CF",25
132,Kristian Campbell,BOS,"2B,CF",23
133,Jacob deGrom,TEX,SP,38
134,Drake Baldwin,ATL,"C,DH",25
135,Nico Hoerner,CHC,"2B,SS",29
136,Zack Wheeler,PHI,SP,36
137,Carson Benge,NYM,"LF,CF,RF",23
138,Hunter Goodman,COL,"C,DH",26
139,Willy Adames,SF,SS,30
140,Will Smith,LAD,C,31
141,Zyhir Hope,LAD,RF,21
142,Lazaro Montes,SEA,RF,21
143,Dylan Cease,TOR,SP,30
144,Jackson Jobe,DET,"SP,RP",23
145,Brenton Doyle,COL,CF,28
146,Kyle Bradish,BAL,SP,29
147,Jordan Lawlar,ARI,"3B,LF",23
148,Cam Smith,HOU,RF,23
149,Chris Sale,ATL,SP,37
150,Shota Imanaga,CHC,SP,32
151,Noelvi Marte,CIN,"3B,RF",24
152,Tyler Glasnow,LAD,SP,32
153,Jakob Marsee,MIA,"LF,CF",24
154,Jared Jones,PIT,SP,24
155,Braden Montgomery,CWS,"CF,RF",23
156,Spencer Torkelson,DET,1B,26
157,Coby Mayo,BAL,"1B,3B,DH",24
158,Luis Robert Jr.,NYM,CF,28
159,Shea Langeliers,ATH,"C,DH",28
160,Luke Keaschall,MIN,2B,23
161,Bryce Miller,SEA,SP,27
162,Colt Emerson,SEA,"3B,SS",20
163,Kris Bubic,KC,SP,28
164,Kade Anderson,SEA,SP,21
165,Cam Schlittler,NYY,SP,25
166,Isaac Paredes,HOU,"1B,3B,DH",27
167,Corbin Burnes,ARI,SP,31
168,Nick Lodolo,CIN,SP,28
169,Heliot Ramos,SF,"LF,CF,RF",26
170,Cade Horton,CHC,SP,24
171,Jose Altuve,HOU,"2B,LF,DH",36
172,Gavin Williams,CLE,SP,26
173,Matt McLain,CIN,"2B,SS",26
174,Christian Yelich,MIL,"LF,DH",34
175,Shane Baz,BAL,SP,27
176,Carlos Rodon,NYY,SP,33
177,Andrew Abbott,CIN,SP,27
178,Ivan Herrera,STL,"C,DH",26
179,Sandy Alcantara,MIA,SP,30
180,Jonah Tong,NYM,SP,23
181,Ryan Pepiot,TB,SP,28
182,Tanner Bibee,CLE,SP,27
183,Grayson Rodriguez,LAA,SP,26
184,Colson Montgomery,CWS,"3B,SS",24
185,Jonathan Aranda,TB,1B,28
186,Ranger Suarez,BOS,SP,30
187,Mike Trout,LAA,"CF,RF,DH",34
188,Thomas White,MIA,SP,21
189,Carson Williams,TB,SS,22
190,Kerry Carpenter,DET,"LF,RF,DH",28
191,Addison Barger,TOR,"3B,LF,RF",26
192,Ozzie Albies,ATL,2B,29
193,Dalton Rushing,LAD,C,25
194,Teoscar Hernandez,LAD,"LF,RF",33
195,Noah Schultz,CWS,SP,22
196,Edward Cabrera,CHC,SP,28
197,Travis Sykora,WSH,SP,22
198,Josh Hader,HOU,RP,32
199,Royce Lewis,MIN,"1B,3B",27
200,Kodai Senga,NYM,SP,33
201,Emmanuel Rodriguez,MIN,CF,23
202,Masyn Winn,STL,SS,24
203,Yainer Diaz,HOU,"C,DH",27
204,Chase DeLauter,CLE,"CF,RF,DH",24
205,Jung Hoo Lee,SF,"CF,RF",27
206,Gerrit Cole,NYY,SP,35
207,Luis Castillo,SEA,SP,33
208,Zebby Matthews,MIN,SP,26
209,Reese Olson,DET,SP,26
210,Aaron Nola,PHI,SP,33
211,Kyle Manzardo,CLE,"1B,DH",25
212,Edwin Diaz,LAD,RP,32
213,Anthony Volpe,NYY,SS,25
214,Colton Cowser,BAL,"LF,CF,RF",26
215,Zac Gallen,ARI,SP,30
216,Hagen Smith,CWS,SP,22
217,Kyle Teel,CWS,C,24
218,Eugenio Suarez,CIN,"3B,DH",34
219,AJ Smith-Shawver,ATL,SP,23
220,Robbie Ray,SF,SP,34
221,Nick Pivetta,SD,SP,33
222,Luis Gil,NYY,SP,28
223,Ezequiel Tovar,COL,SS,24
224,Shane Bieber,TOR,SP,31
225,Bryce Rainer,DET,SS,20
226,Evan Carter,TEX,"LF,CF,RF",23
227,Christian Moore,LAA,2B,23
228,Francisco Alvarez,NYM,"C,DH",24
229,Charlie Condon,COL,"1B,OF",23
230,Moises Ballesteros,CHC,"C,DH",22
231,Ian Happ,CHC,LF,31
232,Logan Henderson,MIL,SP,24
233,Logan O'Hoppe,LAA,C,26
234,Brayan Bello,BOS,SP,27
235,Ethan Holliday,COL,SS,19
236,Casey Mize,DET,SP,29
237,Brandon Woodruff,MIL,SP,33
238,Mark Vientos,NYM,"1B,3B,DH",26
239,Jack Flaherty,DET,SP,30
240,Spencer Jones,FA,SP,31
241,Taj Bradley,MIN,SP,25
242,Owen Caissie,MIA,"CF,RF",23
243,Colt Keith,DET,"1B,2B,3B,DH",24
244,George Lombard,NYY,"2B,3B,SS",21
245,Drew Rasmussen,TB,SP,30
246,Justin Steele,CHC,SP,30
247,Eli Willits,WSH,SS,18
248,Nathan Eovaldi,TEX,SP,36
249,Gleyber Torres,DET,2B,29
250,Justin Crawford,PHI,CF,22
251,Liam Doyle,STL,SP,22
252,Sal Frelick,MIL,"LF,CF,RF",26
253,Josue Briceno,DET,"C,1B",21
254,Spencer Steer,CIN,"1B,2B,LF,RF",28
255,Max Meyer,MIA,SP,27
256,Noah Cameron,KC,SP,26
257,Triston Casas,BOS,1B,26
258,Xavier Edwards,MIA,"2B,SS",26
259,Will Warren,NYY,SP,27
260,Ryan Weathers,NYY,SP,26
261,Mick Abel,MIN,SP,24
262,Dylan Beavers,BAL,"LF,CF,RF,DH",24
263,Jack Leiter,TEX,SP,26
264,Dansby Swanson,CHC,SS,32
265,Matt Chapman,SF,3B,33
266,Spencer Arrighetti,HOU,SP,26
267,Emmanuel Clase,CLE,RP,28
268,Brandon Lowe,PIT,2B,31
269,Hurston Waldrep,ATL,SP,24
270,Kevin Gausman,TOR,SP,35
271,Jordan Beck,COL,"LF,RF",25
272,Brendan Donovan,SEA,"2B,3B,SS,LF",29
273,Bryson Stott,PHI,"2B,SS",28
274,Cade Smith,CLE,RP,27
275,Luis Arraez,SF,"1B,2B,DH",29
276,Brandon Sproat,MIL,SP,25
277,Eduardo Quintero,LAD,CF,20
278,Arjun Nimmala,TOR,SS,20
279,Tyler Bremner,LAA,SP,22
280,Brandon Nimmo,TEX,"LF,CF,RF,DH",33
281,Franklin Arias,BOS,SS,20
282,Joe Boyle,TB,"SP,RP",26
283,Alejandro Kirk,TOR,C,27
284,Jett Williams,MIL,"2B,SS,OF",22
285,Quinn Priester,MIL,"SP,RP",25
286,Michael Arroyo,SEA,2B,21
287,Yandy Diaz,TB,"1B,DH",34
288,Quinn Mathews,STL,SP,25
289,Bailey Ober,MIN,SP,30
290,Nolan Schanuel,LAA,1B,24
291,Cole Young,SEA,2B,22
292,Bryan Reynolds,PIT,"LF,CF,RF,DH",31
293,Alec Bohm,PHI,"1B,3B",29
294,Mitch Keller,PIT,SP,30
295,Robby Snelling,MIA,SP,22
296,Edward Florentino,PIT,"1B,CF",19
297,Jhostynxon Garcia,PIT,"LF,CF,RF",23
298,Rhett Lowder,CIN,SP,24
299,Hayden Birdsong,SF,"SP,RP",24
300,Austin Wells,NYY,C,26
