name,mlb_id,recent_games,recent_fpts,recent_fpg,group
Alika Williams,675961,20,39.0,1.95,hitting
Jonny DeLuca,676356,23,39.0,1.7,hitting
Ryan Watson,670245,11,39.0,3.55,pitching
Framber Valdez,664285,5,39.0,7.8,pitching
Casey Mize,663554,6,39.0,6.5,pitching
Dean Kremer,665152,6,39.0,6.5,pitching
Sean Murphy,669221,15,38.0,2.53,hitting
Cody Freeman,683227,22,38.0,1.73,hitting
Juan Soto,665742,10,38.0,3.8,hitting
Ernie Clement,676391,26,38.0,1.46,hitting
Dedniel Núñez,673380,11,38.0,3.45,pitching
Jack Dreyer,676263,13,38.0,2.92,pitching
Yoendrys Gómez,672782,9,38.0,4.22,pitching
Max Scherzer,453286,5,38.0,7.6,pitching
JJ Wetherholt,802139,18,37.0,2.06,hitting
J.T. Realmuto,592663,21,37.0,1.76,hitting
Victor Mederos,682989,11,37.0,3.36,pitching
Alex Hoppe,695380,12,37.0,3.08,pitching
Ben Joyce,690829,9,37.0,4.11,pitching
Brett Sullivan,664954,16,36.5,2.28,hitting
Esmerlyn Valdez,699013,20,36.5,1.82,hitting
Ben Malgeri,701162,23,36.5,1.59,hitting
Kyle Stowers,669065,14,36.0,2.57,hitting
Wyatt Olds,681544,9,36.0,4.0,pitching
Robert Gasser,688107,5,36.0,7.2,pitching
Chris Bassitt,605135,5,36.0,7.2,pitching
Riley Greene,682985,8,35.5,4.44,hitting
Austin Wells,669224,26,35.5,1.37,hitting
Tommy White,695720,20,35.0,1.75,hitting
Angel Genao,694197,25,35.0,1.4,hitting
Ryne Stanek,592773,13,35.0,2.69,pitching
Chad Patrick,694477,11,35.0,3.18,pitching
John Schreiber,670167,11,35.0,3.18,pitching
Yusei Kikuchi,579328,3,35.0,11.67,pitching
Quinn Mathews,687273,5,35.0,7.0,pitching
MacKenzie Gore,669022,6,35.0,5.83,pitching
Shane Baz,669358,5,35.0,7.0,pitching
Josh Smith,669701,14,34.5,2.46,hitting
Keibert Ruiz,660688,15,34.5,2.3,hitting
Colton Cowser,681297,25,34.0,1.36,hitting
Jake Mangum,663968,23,34.0,1.48,hitting
Moisés Ballesteros,694208,25,34.0,1.36,hitting
Tanner Gordon,685299,5,34.0,6.8,pitching
Zack Wheeler,554430,5,34.0,6.8,pitching
Victor Mesa Jr.,683748,12,33.5,2.79,hitting
Eli White,642201,22,33.5,1.52,hitting
Xavier Edwards,669364,18,33.5,1.86,hitting
Zac Veen,691728,22,33.5,1.52,hitting
Mickey Moniak,666160,24,33.5,1.4,hitting
Charles McAdoo,807727,19,33.0,1.74,hitting
Elias Díaz,553869,23,33.0,1.43,hitting
Brandon Marsh,669016,25,33.0,1.32,hitting
Joc Pederson,592626,26,33.0,1.27,hitting
Jeff Hoffman,656546,10,33.0,3.3,pitching
Rico Garcia,670329,14,33.0,2.36,pitching
Braydon Fisher,680755,13,33.0,2.54,pitching
Robbie Ray,592662,5,33.0,6.6,pitching
Grayson Rodriguez,680570,5,33.0,6.6,pitching
Tyler Tolbert,686475,20,32.5,1.62,hitting
Jorge Mateo,622761,18,32.5,1.81,hitting
Ryan Waldschmidt,814439,24,32.0,1.33,hitting
Anthony Nunez,689296,6,32.0,5.33,pitching
Seranthony Domínguez,622554,13,32.0,2.46,pitching
Jonathan Pintaro,702752,11,32.0,2.91,pitching
Alex Vesia,681911,14,32.0,2.29,pitching
Bailey Ober,641927,5,32.0,6.4,pitching
Brandon Young,687064,6,32.0,5.33,pitching
Cristian Javier,664299,4,32.0,8.0,pitching
Eury Pérez,691587,6,32.0,5.33,pitching
Andy Pages,681624,11,31.5,2.86,hitting
Agustín Ramírez,682663,22,31.5,1.43,hitting
Ryan Vilade,668723,17,31.0,1.82,hitting
Troy Johnston,687859,17,31.0,1.82,hitting
Luis Rengifo,650859,16,31.0,1.94,hitting
Evan Carter,694497,26,31.0,1.19,hitting
Osleivis Basabe,678545,26,31.0,1.19,hitting
Griffin Canning,656288,6,31.0,5.17,pitching
Mark Manfredi,815081,9,31.0,3.44,pitching
Tayler Saucedo,642048,12,31.0,2.58,pitching
Chase Silseth,681217,14,31.0,2.21,pitching
Ryan Weathers,677960,3,31.0,10.33,pitching
Michael McGreevy,700241,5,31.0,6.2,pitching
Justin Crawford,702222,25,30.0,1.2,hitting
José Caballero,676609,23,30.0,1.3,hitting
Garrett Whitlock,676477,4,30.0,7.5,pitching
Cesar Perdomo,702885,2,30.0,15.0,pitching
Max Fried,608331,3,30.0,10.0,pitching
Ranger Suarez,624133,5,30.0,6.0,pitching
Will Warren,701542,5,30.0,6.0,pitching
Shota Imanaga,684007,5,30.0,6.0,pitching
George Lombard Jr.,806146,22,29.5,1.34,hitting
Trevor Larnach,663616,21,29.5,1.4,hitting
Brian Serven,661531,11,29.0,2.64,hitting
Denzer Guzman,694203,24,29.0,1.21,hitting
Riley O'Brien,676617,12,29.0,2.42,pitching
Grant Wolfram,664991,11,29.0,2.64,pitching
Yohan Ramírez,670990,11,29.0,2.64,pitching
Ryan Gusto,687473,5,29.0,5.8,pitching
Will Dion,702021,6,29.0,4.83,pitching
José Urquidy,664353,6,29.0,4.83,pitching
Drew Romo,691011,13,28.5,2.19,hitting
Jonah Heim,641680,23,28.5,1.24,hitting
Spencer Torkelson,679529,25,28.0,1.12,hitting
Justin Martinez,679885,7,28.0,4.0,pitching
Paul Sewald,623149,9,28.0,3.11,pitching
Brendon Little,663893,10,28.0,2.8,pitching
Steven Cruz,674444,11,28.0,2.55,pitching
Zac Thornton,804267,5,28.0,5.6,pitching
Victor Robles,645302,10,27.5,2.75,hitting
Bryan Torres,663494,16,27.5,1.72,hitting
Ezequiel Tovar,678662,23,27.5,1.2,hitting
Harry Ford,695670,16,27.5,1.72,hitting
Heliot Ramos,671218,20,27.5,1.38,hitting
Luis Torrens,620443,13,27.0,2.08,hitting
Graham Pauley,688363,11,27.0,2.45,hitting
Andruw Monasterio,655316,22,27.0,1.23,hitting
Yerry De los Santos,660787,9,27.0,3.0,pitching
Matt Festa,670036,11,27.0,2.45,pitching
Ryan Rolison,669020,12,27.0,2.25,pitching
Petey Halpin,690984,21,26.5,1.26,hitting
Gary Sánchez,596142,18,26.5,1.47,hitting
Roman Anthony,701350,10,26.0,2.6,hitting
Ray Kerr,678061,5,26.0,5.2,pitching
Erik Tolman,680899,7,26.0,3.71,pitching
Kirby Yates,489446,9,26.0,2.89,pitching
Cam Booser,592155,9,26.0,2.89,pitching
Tim Hill,657612,10,26.0,2.6,pitching
Dylan Dodd,689266,11,26.0,2.36,pitching
Dylan Smith,681916,10,26.0,2.6,pitching
Michael Petersen,656848,10,26.0,2.6,pitching
Kevin Ginkel,656464,13,26.0,2.0,pitching
Keider Montero,672456,4,26.0,6.5,pitching
Joey Cantillo,676282,5,26.0,5.2,pitching
Willy Adames,642715,8,25.5,3.19,hitting
J.P. Crawford,641487,13,25.5,1.96,hitting
Paul Goldschmidt,502671,11,25.0,2.27,hitting
Blaze Jordan,691458,15,25.0,1.67,hitting
Jaden Hill,677955,8,25.0,3.12,pitching
Jacob Waguespack,621097,12,25.0,2.08,pitching
Dennis Santana,642701,8,25.0,3.12,pitching
Jakob Junis,596001,10,25.0,2.5,pitching
Tyler Holton,663947,12,25.0,2.08,pitching
Gabe Speier,642100,10,25.0,2.5,pitching
Orion Kerkering,689147,9,25.0,2.78,pitching
Casey Legumina,668984,9,25.0,2.78,pitching
Lake Bachar,669199,7,25.0,3.57,pitching
Shane McClanahan,663556,4,25.0,6.25,pitching
Christian Scott,681035,5,25.0,5.0,pitching
Brendan Donovan,680977,10,24.5,2.45,hitting
Nolan Schanuel,694384,9,24.5,2.72,hitting
Leo Bernal,699024,8,24.5,3.06,hitting
Hunter Feduccia,676439,20,24.5,1.23,hitting
Brock Rodden,801126,20,24.5,1.23,hitting
Joe Mack,691788,21,24.5,1.17,hitting
Zach McKinstry,656716,23,24.5,1.07,hitting
Danny Jansen,643376,12,24.0,2.0,hitting
Taylor Clarke,664199,11,24.0,2.18,pitching
Abner Uribe,682842,4,24.0,6.0,pitching
Dax Fulton,690978,5,24.0,4.8,pitching
Grant Anderson,681982,8,24.0,3.0,pitching
Bryse Wilson,669060,6,24.0,4.0,pitching
Connor Thomas,671162,9,24.0,2.67,pitching
Craig Kimbrel,518886,10,24.0,2.4,pitching
Jimmy Herget,623474,12,24.0,2.0,pitching
Emmet Sheehan,686218,1,24.0,24.0,pitching
Robert Stock,476594,5,24.0,4.8,pitching
Derek Hill,656537,19,23.0,1.21,hitting
Tyler Kinley,641755,9,23.0,2.56,pitching
Brock Stewart,592779,8,23.0,2.88,pitching
Brooks Raley,548384,9,23.0,2.56,pitching
Trevor Richards,670950,9,23.0,2.56,pitching
Kyle Hart,606996,10,23.0,2.3,pitching
Brennan Bernardino,657514,13,23.0,1.77,pitching
Andre Pallante,669467,3,23.0,7.67,pitching
Brady Basso,669620,9,23.0,2.56,pitching
Matthew Boyd,571510,5,23.0,4.6,pitching
Jordan Lawlar,691783,18,22.5,1.25,hitting
