date,label,file,players,has_asset_value,md5
2026-06-16,weekly,ratings_2026-06-16.csv,10123,True,a125a32a7d
2026-06-21,weekly,ratings_2026-06-21.csv,10123,True,2067ed5303
2026-06-25,weekly,ratings_2026-06-25.csv,10122,True,89714628fb
2026-07-20,weekly,ratings_2026-07-20.csv,10121,True,337b21a6c8
